"bea_dataset","key","description","retrieved_at"
"FixedAssets","FAAt609","Table 6.9. Current-Cost Average Age at Yearend of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt610","Table 6.10. Historical-Cost Average Age at Yearend of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt701","Table 7.1. Current-Cost Net Stock of Government Fixed Assets (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt702","Table 7.2. Chain-Type Quantity Indexes for Net Stock of Government Fixed Assets (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt703","Table 7.3. Current-Cost Depreciation of Government Fixed Assets (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt704","Table 7.4. Chain-Type Quantity Indexes for Depreciation of Government Fixed Assets (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt705","Table 7.5. Investment in Government Fixed Assets (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt706","Table 7.6. Chain-Type Quantity Indexes for Investment in Government Fixed Assets (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt707","Table 7.7. Current-Cost Average Age at Yearend of Government Fixed Assets (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt801","Table 8.1. Current-Cost Net Stock of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt802","Table 8.2. Chain-Type Quantity Indexes for Net Stock of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt803","Table 8.3. Historical-Cost Net Stock of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt804","Table 8.4. Current-Cost Depreciation of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt805","Table 8.5. Chain-Type Quantity Indexes for Depreciation of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt806","Table 8.6. Historical-Cost Depreciation of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt807","Table 8.7. Investment in Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt808","Table 8.8. Chain-Type Quantity Indexes for Investment in Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt809","Table 8.9. Current-Cost Average Age at Yearend of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt810","Table 8.10. Historical-Cost Average Age at Yearend of Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt901","Table 9.1. Real Net Stock of Fixed Assets and Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt902","Table 9.2. Real Depreciation of Fixed Assets and Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt903","Table 9.3. Real Investment in Fixed Assets and Consumer Durable Goods (A)","2026-06-11T11:26:45-0400"
"NIPA","T10101","Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10102","Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10103","Table 1.1.3. Real Gross Domestic Product, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10104","Table 1.1.4. Price Indexes for Gross Domestic Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10105","Table 1.1.5. Gross Domestic Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10106","Table 1.1.6. Real Gross Domestic Product, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10107","Table 1.1.7. Percent Change From Preceding Period in Prices for Gross Domestic Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10108","Table 1.1.8. Contributions to Percent Change in the Gross Domestic Product Price Index (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10109","Table 1.1.9. Implicit Price Deflators for Gross Domestic Product (A) (Q)","2026-06-11T11:26:44-0400"
