"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_WITH_RC_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_WITH_RC_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_WITH_RC_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_WITH_RC_D_cc","TOTAL_ALL_D_cc","ME_Ret_cc","NRC_Ret_cc","RC_Ret_cc","IP_Ret_cc","NR_Ret_cc","TOTAL_PRODUCTIVE_Ret_cc","TOTAL_WITH_RC_Ret_cc","TOTAL_ALL_Ret_cc"
1990,101722,4055325,5385788,1437022,4157047,4157047,9542835,10979857,228464.609824709,4104187.76561692,9554980.28963423,819755.718609876,4332652.37544163,4332652.37544163,13887632.6650759,14707388.3836857,13639,204097,534304,182550,217736,217736,752040,934590,14388,111553,386482,152433,125941,125941,512423,664856,15344.6864160506,105407.858530187,184095.434482331,159301.429652469,120752.544946238,120752.544946238,304847.979428569,464149.409081038
1991,102678,4116647,5511706,1482651,4219325,4219325,9731031,11213682,232979.005315144,4173583.71451235,9911204.36281802,851529.216281766,4406562.71982749,4406562.71982749,14317767.0826455,15169296.2989273,11966,179561,513141,186752,191527,191527,704668,891420,14665,115919,406750,160877,130584,130584,537334,698211,15786.643236796,107946.559851685,191797.211486082,166194.304070441,123733.203088481,123733.203088481,315530.414574563,481724.718645004
1992,101307,4251264,5704338,1535428,4352571,4352571,10056909,11592337,234274.479744477,4315238.15363648,10395122.0821707,886003.569751634,4549512.63338096,4549512.63338096,14944634.7155517,15830638.2853033,10579,164752,524106,192158,175331,175331,699437,891595,14667,116462,417668,167172,131129,131129,548797,715969,15978.2485531769,112175.301449635,201449.307799402,173461.392437909,128153.550002811,128153.550002811,329602.857802214,503064.250240122
1993,102506,4459065,5998809,1586642,4561571,4561571,10560380,12147022,237573.990904276,4528154.30803762,11036169.7422928,916229.943573199,4765728.2989419,4765728.2989419,15801898.0412347,16718127.9848079,13317,173292,583683,193079,186609,186609,770292,963371,14592,120943,438062,173196,135535,135535,573597,746793,16018.3564931626,117698.981298314,213316.055965159,180787.7358933,133717.337791477,133717.337791477,347033.393756636,527821.129649936
1994,105725,4697080,6340151,1671436,4802805,4802805,11142956,12814392,242636.041637458,4775378.9137967,11773683.8325106,970815.164015318,5018014.95543416,5018014.95543416,16791698.7879447,17762513.9519601,15782,180245,627534,214376,196027,196027,823561,1037937,14940,126278,464738,180959,141218,141218,605956,786915,16203.8601169613,124192.808480992,227472.445561441,189109.79100383,140396.668597953,140396.668597953,367869.114159394,556978.905163223
1995,110585,4913397,6686689,1767955,5023982,5023982,11710671,13478626,250171.009972627,4997658.85345002,12511206.2303437,1045118.78282042,5247829.86342265,5247829.86342265,17759036.0937663,18804154.8765867,17567,204120,687961,248952,221687,221687,909648,1158600,15599,133381,498914,194884,148980,148980,647894,842778,16614.572140902,129555.104147298,241290.718986606,199041.695705104,146169.6762882,146169.6762882,387460.395274805,586502.090979909
1996,114273,5135950,7012681,1863493,5250223,5250223,12262904,14126397,254979.581194444,5225102.48843806,13200322.0945288,1124823.00649544,5480082.06963251,5480082.06963251,18680404.1641613,19805227.1706568,18492,225097,743099,276888,243589,243589,986688,1263576,16240,138839,526275,206963,155079,155079,681354,888317,16891.9700853174,135135.283471299,254229.042745486,211983.75162386,152027.253556616,152027.253556616,406256.296302102,618240.047925962
1997,120190,5445420,7425069,1963059,5565610,5565610,12990679,14953738,261394.246366863,5540399.50243181,14027623.1078284,1205132.65438242,5801793.74879867,5801793.74879867,19829416.856627,21034549.5110095,22320,249089,826880,290895,271409,271409,1098289,1389184,16945,147368,560343,221502,164313,164313,724656,946158,17076.7318833474,143008.391957616,269402.920567926,228559.413595605,160085.123840964,160085.123840964,429488.04440889,658047.458004495
1998,125845,5759325,7858138,2071540,5885170,5885170,13743308,15814848,268793.482565774,5862188.5795998,14870661.1735722,1287503.68835363,6130982.06216558,6130982.06216558,21001643.2357377,22289146.9240914,22012,273150,915682,304720,295162,295162,1210844,1515564,17772,157677,598519,235137,175449,175449,773968,1009105,17627.2487546981,151055.096745941,284795.493338208,245695.922088407,168682.345500639,168682.345500639,453477.838838846,699173.760927254
1999,126080,6063720,8377538,2168845,6189800,6189800,14567338,16736183,270706.847941461,6174316.25559861,15858403.7440051,1356247.93914718,6445023.10354007,6445023.10354007,22303426.8475452,23659674.7866924,17267,281523,1024696,306845,298790,298790,1323486,1630331,18240,164294,648786,249356,182534,182534,831320,1080676,18102.846281533,159264.682583746,302728.729469492,262350.734786795,177367.528865279,177367.528865279,480096.258334771,742446.993121567
2000,126791,6467525,9024567,2272252,6594316,6594316,15618883,17891135,272392.454787073,6584459.7538352,17094169.4018326,1432848.16961756,6856852.20862227,6856852.20862227,23951021.6104549,25383869.7800724,18300,314651,1128555,327849,332951,332951,1461506,1789355,18304,173794,714631,264881,192098,192098,906729,1171610,18149.4610562195,169454.290644195,325828.865343522,276249.792404391,187603.751700414,187603.751700414,513432.617043936,789682.409448327
2001,128977,6880747,9530423,2339038,7009724,7009724,16540147,18879185,276345.036139691,7015672.61991049,18201927.7864673,1479856.53363539,7292017.65605018,7292017.65605018,25493945.4425175,26973801.9761529,19238,326184,1087830,325820,345422,345422,1433252,1759072,18486,188410,765356,274663,206896,206896,972252,1246915,18364.7882956922,180796.98972731,349267.301764639,288509.133408848,199161.778023003,199161.778023003,548429.079787641,836938.213196489
2002,133036,7212921,9918629,2369432,7345957,7345957,17264586,19634018,282130.558698603,7360483.36302883,19170792.5095647,1483651.29692404,7642613.92172743,7642613.92172743,26813406.4312922,28297057.7282162,21533,278288,1010622,290965,299821,299821,1310443,1601408,18828,200930,796697,277956,219758,219758,1016455,1294411,18614.1113356145,191410.685487266,370615.724684995,298171.574231009,210024.79682288,210024.79682288,580640.521507875,878812.095738883
2003,138879,7516088,10291005,2406975,7654967,7654967,17945972,20352947,290888.70551894,7677720.09355523,20113507.2124883,1485380.14271954,7968608.79907417,7968608.79907417,28082116.0115624,29567496.154282,22905,277995,1041384,280199,300900,300900,1342284,1622483,19447,210658,821680,279109,230105,230105,1051785,1330894,19141.6932513528,199992.570096087,389227.004336495,301295.285679885,219134.26334744,219134.26334744,608361.267683936,909656.553363821
2004,149409,8335744,11270580,2515035,8485153,8485153,19755733,22270768,307517.371067903,8523982.71360073,22227299.4399026,1529873.88381786,8831500.08466863,8831500.08466863,31058799.5245713,32588673.4083891,25672,298569,1122296,291240,324241,324241,1446537,1737777,20544,229087,867829,284333,249631,249631,1117460,1401793,20131.8122191359,222308.478745966,430714.35591638,309658.470954465,242440.290965102,242440.290965102,673154.646881482,982813.117835947
2005,157361,9310841,12386099,2648944,9468202,9468202,21854301,24503245,320214.745318957,9546534.64517336,24624440.6009013,1600401.77238135,9866749.39049232,9866749.39049232,34491189.9913936,36091591.763775,26209,343425,1243481,323181,369634,369634,1613115,1936296,21942,262711,941350,295490,284653,284653,1226003,1521493,21000.4103799255,248732.693112794,477162.440834721,319305.193095337,269733.103492719,269733.103492719,746895.54432744,1066200.73742278
2006,163865,10179066,13512638,2777020,10342931,10342931,23855569,26632589,332199.931379747,10457470.9040641,26974241.8546864,1669958.07872428,10789670.8354438,10789670.8354438,37763912.6901302,39433870.7688545,24982,413005,1394491,346287,437987,437987,1832478,2178765,22905,299435,1022236,308686,322340,322340,1344576,1653262,21944.1379556962,271472.051461191,522035.731728294,330917.76968107,293416.189416887,293416.189416887,815451.921145181,1146369.69082625
2007,171210,10770495,14271529,2945690,10941705,10941705,25213234,28158924,345460.521334542,11092095.583268,28614738.0158988,1779721.7112912,11437556.1046025,11437556.1046025,40052294.1205013,41832015.8317925,26360,493668,1494561,397492,520028,520028,2014589,2412081,23834,321895,1090935,326174,345729,345729,1436664,1762838,22792.8943810387,286443.988736972,553473.000324465,345557.4278228,309236.883118011,309236.883118011,862709.883442476,1208267.31126528
2008,184471,11558829,15208316,3133177,11743300,11743300,26951616,30084793,368350.162356059,11937218.7556052,30686500.9576048,1898422.52858998,12305568.9179613,12305568.9179613,42992069.8755661,44890492.4041561,30006,551362,1516934,418066,581368,581368,2098302,2516368,25308,346397,1153480,347546,371705,371705,1525185,1872731,24167.4401682899,307725.858259601,595297.284849078,370089.132147494,331893.298427891,331893.298427891,927190.583276969,1297279.71542446
2009,189644,11028619,14711482,3088644,11218263,11218263,25929745,29018389,377148.560598563,11433872.9137791,30147656.982817,1852749.70720586,11811021.4743776,11811021.4743776,41958678.4571946,43811428.1644005,29649,436669,1269840,357759,466318,466318,1736158,2093917,26477,342522,1161056,353497,368999,368999,1530055,1883552,24821.3971856116,297221.727399434,589343.203730959,373747.676801466,322043.124585046,322043.124585046,911386.328316005,1285134.00511747
2010,196077,11283534,15106206,3137263,11479611,11479611,26585817,29723080,387887.156235006,11730382.1156079,31343686.5100492,1866557.180876,12118269.2718429,12118269.2718429,43461955.7818921,45328512.9627681,30827,365812,1325218,365002,396639,396639,1721857,2086859,27156,340419,1168210,356755,367575,367575,1535785,1892540,25504.296873929,307150.543665079,612621.806327535,375388.795218999,332654.840539008,332654.840539008,945276.646866543,1320665.44208554
2011,208802,11799149,15830005,3263592,12007951,12007951,27837956,31101548,407960.734342763,12296403.9828851,33162005.6798211,1941471.23143745,12704364.7172278,12704364.7172278,45866370.3970489,47807841.6284864,35926,391506,1452403,405524,427432,427432,1879835,2285359,28704,354119,1220240,369312,382823,382823,1603063,1972375,26573.9095959117,321753.999537434,647134.748567778,383986.807859363,348327.909133346,348327.909133346,995462.657701124,1379449.46556049
2012,226601,12111943,16364724,3354679,12338544,12338544,28703268,32057947,431090.259825087,12673640.8088212,34567182.3237205,2007536.20423452,13104731.0686462,13104731.0686462,47671913.3923667,49679449.5966013,46646,461449,1606818,435223,508095,508095,2114913,2550136,30928,374109,1285810,383384,405037,405037,1690847,2074231,27460.3042732205,330059.238076248,672660.496402459,393078.301058631,357519.542349468,357519.542349468,1030180.03875193,1423258.33981056
2013,249859,12599743,17017403,3499153,12849602,12849602,29867005,33366158,461274.297634322,13216886.4668197,36208779.8798203,2107683.18947709,13678160.7644541,13678160.7644541,49886940.6442744,51994623.8337515,54328,474126,1672502,467289,528454,528454,2200956,2668245,33834,383760,1342858,395562,417594,417594,1760452,2156014,29067.5926881659,344398.931535669,704821.997547354,410098.547369273,373466.524223834,373466.524223834,1078288.52177119,1488387.06914046
2014,272803,13199137,17845504,3613327,13471940,13471940,31317444,34930771,492374.622073492,13886789.1619648,38158961.6646202,2190230.13986749,14379163.7840383,14379163.7840383,52538125.4486585,54728355.588526,57856,555121,1847726,484429,612977,612977,2460703,2945132,37312,410709,1420410,411633,448021,448021,1868431,2280064,31037.0444338209,360315.355728777,741045.625808576,426450.284966871,391352.400162598,391352.400162598,1132398.02597117,1558848.31093805
2015,275636,13386252,18232317,3686136,13661888,13661888,31894205,35580341,502156.688952719,14132762.5526938,39222461.1174693,2252176.45364999,14634919.2416465,14634919.2416465,53857380.3591159,56109556.8127658,41148,558117,1915346,501375,599265,599265,2514611,3015986,39185,423235,1485067,425340,462420,462420,1947487,2372827,32929.1920680514,366882.312234968,761369.696274884,437700.363412496,399811.504303019,399811.504303019,1161181.2005779,1598881.5639904
2016,270425,13703387,18784833,3789196,13973812,13973812,32758645,36547841,503859.234103058,14504677.2232951,40689195.5403325,2322351.62699217,15008536.4573982,15008536.4573982,55697731.9977307,58020083.6247229,31912,534381,1931392,506269,566293,566293,2497685,3003954,39013,421487,1532648,433377,460500,460500,1993148,2426525,33710.516721647,377575.573602571,790975.582455766,454020.656748043,411286.090324218,411286.090324218,1202261.67277998,1656282.32952803
2017,267876,14142872,19512941,3955951,14410748,14410748,33923689,37879640,507783.947841212,15023059.5237423,42578086.6515857,2428391.53845442,15530843.4715835,15530843.4715835,58108930.1231692,60537321.6616237,33931,560689,2045982,521160,594620,594620,2640602,3161762,38525,432796,1608153,453126,471321,471321,2079474,2532600,33846.6391315151,390874.879020062,827185.809216036,476807.884613605,424721.518151577,424721.518151577,1251907.32736761,1728715.21198122
2018,269576,14773946,20453623,4158206,15043522,15043522,35497145,39655351,518540.902500108,15710666.6412709,44834472.6703093,2558519.84111237,16229207.543771,16229207.543771,61063680.2140804,63622200.0551927,34368,603372,2208087,555874,637740,637740,2845827,3401701,38433,433644,1686865,475898,472077,472077,2158942,2634840,34583.7787500077,408305.26057489,869926.238169579,500661.460278092,442889.039324898,442889.039324898,1312815.27749448,1813476.73777257
2019,270424,15513594,21466310,4327353,15784018,15784018,37250328,41577681,524522.180202843,16508717.8088489,47284080.8998395,2665698.36339596,17033239.9890517,17033239.9890517,64317320.8888912,66983019.2522872,38184,642044,2313463,576116,680228,680228,2993691,3569807,38666,455949,1788402,494755,494615,494615,2283017,2777772,34738.4414430602,428829.021860781,917767.712241623,522395.590848991,463567.463303841,463567.463303841,1381335.17554546,1903730.76639445
2020,273209,15623610,21833427,4532196,15896819,15896819,37730246,42262442,533816.259727339,16645978.0624768,48611097.7450894,2778556.82044712,17179794.3222042,17179794.3222042,65790892.0672936,68569448.8877407,38369,582267,2189677,573414,620636,620636,2810313,3383727,38844,461625,1862642,516953,500469,500469,2363111,2880064,35389.0899805243,434154.353039914,947375.933573254,551285.70511178,469543.443020438,469543.443020438,1416919.37659369,1968205.08170547
2021,303372,17788942,24396509,4936871,18092314,18092314,42488823,47425694,589259.082245019,18938248.4427705,54722140.0310037,3000712.71747547,19527507.5250155,19527507.5250155,74249647.5560192,77250360.2734947,45720,584499,2369541,611190,630219,630219,2999760,3610950,40679,469387,1960713,543158,510066,510066,2470779,3013937,38824.2201603585,496047.282237041,1068420.38838783,597380.679368867,534871.5023974,534871.5023974,1603291.89078523,2200672.5701541
2022,334981,20414893,27423509,5459692,20749874,20749874,48173383,53633075,648591.488360893,21712759.9474665,61842380.083472,3285510.1431729,22361351.4358274,22361351.4358274,84203731.5192994,87489241.6624723,50531,713567,2689247,674815,764098,764098,3453345,4128160,45604,551096,2183828,585329,596700,596700,2780528,3365857,42718.6063114924,567545.755336934,1207206.79762188,652673.785793226,610264.361648426,610264.361648426,1817471.1592703,2470144.94506353
2023,341341,20784011,28347143,5615309,21125352,21125352,49472495,55087804,664482.54220683,22101544.5968943,64180190.3380235,3361643.07120892,22766027.1391011,22766027.1391011,86946217.4771246,90307860.5483335,48566,876921,3023570,700341,925487,925487,3949057,4649398,48050,587646,2352407,614456,635696,635696,2988103,3602559,43994.0387290593,573638.475591737,1248094.29261273,665325.51780223,617632.514320796,617632.514320796,1865726.80693352,2531052.32473575
2024,346207,21194240,29278165,5793216,21540447,21540447,50818612,56611828,676245.056728889,22540792.201573,66647865.7507512,3460861.02370569,23217037.2583019,23217037.2583019,89864903.0090531,93325764.0327588,50717,886917,3163664,728568,937634,937634,4101298,4829866,48814,599578,2492881,640286,648392,648392,3141273,3781559,44680.5754806349,585239.870312784,1295595.95409696,683073.255926423,629920.445793419,629920.445793419,1925516.39989038,2608589.65581681
