"year","GVA_NF","CCA_NF","NVA_NF","EC_NF","Wages_NF","Supplements_NF","TPI_NF","NOS_NF","NetInt_NF","BusTransfer_NF","Profits_IVA_CC_NF","CorpTax_NF","PAT_IVA_CC_NF","Dividends_NF","Retained_IVA_CC_NF","PBT_NF","PAT_NF","Retained_NF","IVA_NF","CCAdj_NF","GOS_NF","ProfSh","WageSh","RetRate","DivPay","Py_fred"
1953,199043,16728,182315,128198,120353,7845,17885,36232,1334,959,33939,18369,15570,7243,8327,41351,21407,13313,-997,-1858,52960,0.198732962180841,0.703167594547898,0.621899378707899,0.338347269584715,13.447
1954,196164,17724,178440,125945,117730,8215,17317,35178,1650,851,32676,15528,17148,7357,9791,38831,21483,13347,-318,-1015,52902,0.197141896435777,0.705811477247254,0.621281943862589,0.342456826327794,13.572
1955,221376,18912,202464,137886,128511,9375,19160,45418,1700,979,42739,20115,22624,8415,14209,49087,27298,18147,-1736,463,64330,0.224326299984195,0.681039592223803,0.664773976115466,0.308264341710015,13.801
1956,237233,21356,215877,150770,140085,10685,20803,44304,1832,1035,41437,19919,21518,9007,12511,49804,28213,18344,-2693,-286,65660,0.205227977042483,0.698406963224429,0.650196717825116,0.319249991138837,14.271
1957,247921,23756,224165,158411,146487,11924,22049,43705,2262,1098,40345,18981,21364,9226,12138,48102,27222,16823,-1539,-515,67461,0.194967992327081,0.706671425066357,0.617992799941224,0.338917052384101,14.744
1958,242248,25496,216752,155209,143301,11908,22306,39237,2846,1173,35217,16064,19153,9115,10038,42507,24067,13711,-255,-918,64733,0.181022551118329,0.716067210452499,0.569701250675198,0.37873436656002,15.08
1959,271655,26688,244967,170794,156935,13859,24397,49776,3018,1255,45503,20682,24821,9816,15005,53236,30420,18801,-277,-163,76464,0.203194716022975,0.697212277572081,0.618047337278106,0.322682445759369,15.287
1960,282484,27560,254924,180409,165053,15356,26600,47915,3313,1266,43335,19142,24193,10455,13738,50716,28831,16524,-173,1000,75475,0.187957979633146,0.707697196027051,0.573133085914467,0.362630501890326,15.495
1961,290423,28564,261859,184516,168575,15941,27620,49723,3818,1421,44484,19419,25065,10576,14489,50588,28385,16192,271,1770,78287,0.189884632569436,0.704638755971725,0.570442134930421,0.372591157301392,15.66
1962,316808,29824,286984,199256,181160,18096,29869,57859,4470,1579,51810,20591,31219,11590,19629,55432,32136,18981,26,4813,87683,0.201610542748028,0.694310484208179,0.590646004480956,0.360654717450834,15.85
1963,337829,31340,306489,210106,190566,19540,31667,64716,4828,1595,58293,22754,35539,12444,23095,60335,34844,20402,54,6038,96056,0.211152765678377,0.685525418530518,0.585524050051659,0.357134657329813,16.032
1964,364523,33252,331271,225657,204546,21111,33878,71736,5299,1871,64566,23888,40678,13996,26682,66977,40404,23831,-494,6756,104988,0.216547781121801,0.681185494655433,0.58981783981784,0.346401346401346,16.276
1965,400741,35828,364913,245400,222158,23242,36022,83491,5966,2102,75423,27137,48286,16195,32091,78404,48636,30465,-1245,7424,119319,0.228797000928989,0.672489059035989,0.626387860843819,0.332983798009705,16.574
1966,440080,39392,400688,272851,245240,27611,36973,90864,7184,2617,81063,29492,51571,16751,34820,85856,53624,34147,-2107,7845,130256,0.226769955676237,0.680956255240985,0.636785767566761,0.31237878561838,17.039
1967,463191,43452,419739,291064,261618,29446,39311,89364,8594,2703,78068,27828,50240,17273,32967,82829,51837,31600,-1554,7816,132816,0.2129037330341,0.693440447516195,0.609603179196327,0.333217585894245,17.533
1968,510944,48092,462852,320869,288123,32746,45535,96448,10148,2937,83364,33534,49830,19038,30792,92270,55106,32475,-3651,7492,144540,0.208377623948908,0.693243196529344,0.589318767466338,0.345479621093892,18.28
1969,554625,53484,501141,356064,318844,37220,50181,94896,13544,3047,78306,33344,44962,19026,25936,90057,53099,29677,-5870,7634,148380,0.189359880752124,0.710506623884296,0.558899414301588,0.35831183261455,19.176
1970,572890,59260,513630,374485,334938,39547,54249,84896,17851,3182,63863,27286,36577,18295,18282,79163,47900,24035,-6552,6533,144156,0.165286295582423,0.729094873741799,0.501774530271399,0.381941544885177,20.189
1971,618097,64732,553365,396190,353485,42705,59516,97659,18915,3592,75152,29995,45157,18145,27012,91416,56608,32914,-4584,5960,162391,0.176482068797268,0.715965050192911,0.581437252685133,0.320537733182589,21.212
1972,685949,70188,615761,439924,389878,50046,63665,112172,19976,3885,88311,33795,54516,19672,34844,106351,67241,42068,-6610,7937,182360,0.182168081447185,0.7144395309219,0.625630195862643,0.292559599054149,22.13
1973,768838,78180,690658,495100,437318,57782,70075,125483,23733,4504,97246,40409,56837,20750,36087,131233,85601,58153,-19569,6828,203663,0.181686160154519,0.716852624598571,0.679349540309109,0.24240371023703,23.342
1974,830040,91384,738656,542933,478533,64400,74430,121293,30142,3739,87413,42849,44564,21532,23032,144058,96823,67819,-38221,2399,212677,0.164207696140016,0.735028213403804,0.700443076541731,0.222385177075695,25.443
1975,898280,107724,790556,569021,495060,73961,80194,141341,32355,4716,104270,41908,62362,24571,37791,140142,93878,62092,-10544,-5370,249065,0.178786828510567,0.71977317229899,0.661411619335734,0.26173331344937,27.8
1976,1014666,118272,896394,640004,554586,85418,86668,169722,29977,6700,133045,53495,79550,27775,51775,179666,120248,84323,-14113,-7763,287994,0.189338616724342,0.713976220278137,0.701242432306566,0.23098097265651,29.33
1977,1147401,132560,1014841,723326,621569,101757,94631,196884,33041,8706,155137,60578,94559,30911,63648,209380,140876,101249,-15698,-7012,329444,0.194004775132262,0.71274810536823,0.71871007126835,0.219419915386581,31.152
1978,1303931,150152,1153779,829499,708962,120537,102726,221554,36599,9203,175752,67556,108196,35926,72270,247541,169689,123074,-23709,-8132,371706,0.19202464250086,0.718940975698119,0.725291562800181,0.211716728839229,33.343
1979,1450326,172444,1277882,942400,802507,139893,108757,226725,43665,9028,174032,70619,103413,37639,65774,266767,186030,135052,-40138,-12024,399169,0.177422485018179,0.737470282858668,0.725968929742515,0.202327581572865,36.11
1980,1574527,198860,1375667,1030690,874674,156016,121536,223441,58147,9636,155658,68203,87455,44651,42804,246853,171369,112118,-42133,-17065,422301,0.162423755167493,0.749229282958739,0.654249018200491,0.260554709428193,39.371
1981,1789067,229084,1559983,1139850,964258,175592,146651,273482,72914,10659,189910,65994,123916,52502,71414,245346,175031,106593,-24626,-4505,502566,0.175310884798104,0.730681039472866,0.608994978032463,0.299958293102365,43.097
1982,1854861,253880,1600981,1183260,994953,188307,152915,264806,83413,8119,173273,48763,124510,54057,70453,197639,146345,74247,-7505,5035,518686,0.165402337691703,0.739084348908575,0.507342239229219,0.369380573302812,45.759
1983,1985899,264616,1721283,1250110,1044744,205366,168018,303155,82656,9953,210547,61721,148826,63249,85577,226967,160548,76302,-7445,23325,567771,0.176121532600973,0.726266395473609,0.475259735406234,0.393956947454967,47.552
1984,2226000,278952,1947048,1388207,1160091,228116,185003,373838,93991,10934,268913,75940,192973,67204,125769,261058,179581,89845,-3979,43620,652790,0.192002457052933,0.712980368229237,0.500303484221605,0.374226672086691,49.267
1985,2369165,298976,2070189,1490088,1243009,247079,196579,383522,97093,15362,271067,71083,199984,72006,127978,250141,168531,68622,21,64818,682498,0.185259413512486,0.719783555994163,0.407177314559339,0.4272567064813,50.826
1986,2464907,317872,2147035,1578176,1307314,270862,204565,364294,107170,26919,230205,76238,153967,72854,81112,225911,134040,30848,7061,51119,682166,0.16967306075588,0.735049032735843,0.230140256639809,0.54352432109818,51.849
1987,2641902,334692,2307210,1685458,1397010,288448,216840,404912,115901,29655,259356,94230,165126,76251,88875,287611,174909,71746,-16239,51431,739604,0.175498545862752,0.730517811555949,0.410190441886924,0.435946692279986,53.134
1988,2873908,358200,2515708,1825308,1514866,310442,233839,456561,135568,27036,293957,103953,190004,82165,107839,333159,208893,95276,-22174,48273,814761,0.181484099108482,0.725564334175508,0.456099534211295,0.393335343932061,55.008
1989,3020213,380160,2640053,1934822,1600102,334720,248156,457075,159563,23481,274031,101208,172823,105361,67461,326694,202272,54563,-16348,41241,837235,0.173130993961106,0.732872408243319,0.269750632811264,0.520887715551337,57.165
1990,3160697,402624,2758073,2037523,1682877,354646,263528,457022,169679,24867,262476,98453,164023,118299,45724,329566,207750,39160,-12892,26569,859646,0.165703373333483,0.738748756831309,0.18849578820698,0.569429602888087,59.305
1991,3231237,423556,2807681,2071121,1701726,369395,285729,450831,156685,26093,268053,88598,179455,125492,53963,348999,231186,53383,4927,18345,874387,0.160570591887041,0.737662505106527,0.230909311117455,0.542818336750495,61.31
1992,3376497,436252,2940245,2188674,1783873,404801,302501,449070,131318,30693,287059,94429,192629,134266,58363,393590,261676,83203,-2821,17431,885322,0.152732170278327,0.744384906699952,0.317961907091212,0.513100169675477,62.707
1993,3534936,455844,3079092,2271015,1845450,425565,319322,488755,117538,29521,341696,108041,233655,149182,84474,435165,280118,79007,-4021,22643,944599,0.158733483767292,0.737559968977867,0.282048993638395,0.532568417595442,64.194
1994,3816575,482344,3334231,2398673,1952818,445855,350747,584811,116971,34651,433190,132356,300834,157976,142858,533055,360384,139993,-12436,35506,1067155,0.175396065839469,0.719408163381601,0.388455092345942,0.438354643935358,65.564
1995,4041486,520836,3520650,2524557,2076881,447676,358667,637426,126463,30162,480800,140323,340477,178025,162453,602781,408332,157558,-18284,39233,1158262,0.181053498643716,0.717071279451238,0.385857586473752,0.435981015448214,66.939
1996,4296356,554164,3742192,2667703,2206889,460814,371681,702808,119960,37319,545529,152928,392601,197550,195052,650845,439459,155998,3071,47686,1256972,0.187806504850633,0.712871760722058,0.354977369902539,0.449529990283508,68.164
1997,4609353,594612,4014741,2862551,2384239,478312,388899,763291,127945,38487,596858,161359,435499,215946,219553,709474,484712,171985,14090,58748,1357903,0.190122102521682,0.713010129420553,0.354818944032745,0.445514037201472,69.34
1998,4875176,634096,4241080,3093832,2582623,511209,402904,744345,148275,34106,561964,158668,403296,241033,162263,652032,430227,85866,15743,64630,1378440,0.175508361077839,0.729491544606563,0.199583010829167,0.560246102638839,70.119
1999,5168284,679076,4489208,3309975,2771099,538876,424636,754597,158279,45602,550717,166463,384253,224667,159586,675993,448607,114938,-3954,73000,1433673,0.168091342615446,0.737318253019241,0.256210892830473,0.500810286063303,71.111
2000,5510787,737452,4773335,3597328,3008384,588944,449868,726139,196220,45439,484479,165085,319394,251327,68067,640759,407311,23660,-16809,56797,1463591,0.152124039062836,0.753629904458832,0.0580882912565583,0.617039559452114,72.722
2001,5470157,781460,4688697,3582304,2991458,590846,441507,664885,224069,55199,385618,106211,279407,245419,33988,548712,378564,16504,8044,61628,1446346,0.141805921773149,0.764029750696195,0.0435963271732125,0.648289324922602,74.36
2002,5543551,805024,4738528,3540451,2937442,603009,467032,731045,200347,51994,478705,91076,387629,254719,132910,650099,489425,109981,8866,114625,1536068,0.15427681339015,0.747162620965836,0.224714716248659,0.520445420646677,75.515
2003,5733743,818191,4915552,3594306,2960800,633506,491120,830127,174198,61635,594294,126492,467801,294880,172921,831661,617898,194945,-14471,100955,1648317,0.168877676403383,0.731211062358816,0.315497056148426,0.477230869819938,77.006
2004,6133641,851954,5281688,3761333,3098330,663003,531742,988613,162335,62538,763740,179234,584506,367055,217451,1093422,814910,297391,-40211,72202,1840566,0.187177470535935,0.71214600332318,0.364937232332405,0.450423973199494,79.077
2005,6575529,913610,5661919,3928746,3236296,692450,575663,1157510,174978,79314,903218,262541,640677,175995,464682,1480504,1100756,782364,-36030,-140145,2071120,0.204437753348291,0.69388947457567,0.710751519864529,0.159885569554016,81.556
2006,7021572,984445,6037127,4127501,3418905,708596,611790,1297836,183070,68525,1046240,296082,750159,472789,277370,1653895,1223747,585809,-31941,-165568,2282281,0.214975765790582,0.683686296478441,0.478701071381585,0.386345380213394,84.071
2007,7257367,1047219,6210148,4307101,3573381,733720,631279,1271768,261873,59077,950818,277620,673199,483318,189881,1476382,1084600,406740,-43630,-174725,2318987,0.204788678144225,0.693558511004891,0.375013829983404,0.445618661257606,86.349
2008,7327703,1108750,6218953,4364267,3624655,739611,637442,1217245,325645,46320,845280,207206,638075,491168,146906,1048553,792634,131782,-34830,-58295,2325994,0.195731500141583,0.701768770402349,0.166258323513753,0.619665570742613,88.013
2009,6904035,1114626,5789409,4094885,3382810,712075,608503,1086020,301527,60532,723962,161436,562526,367793,194733,1156900,952967,436385,2617,-82629,2200647,0.187587368589782,0.707306220721321,0.457922467409679,0.385945158646627,88.556
2010,7287190,1123495,6163695,4166597,3452256,714341,638215,1358883,303977,71808,983098,203784,779315,382167,397148,1492920,1220653,706107,-47593,-56642,2482378,0.22046564601266,0.675990132542249,0.578466607627229,0.313084062383003,89.632
2011,7661063,1173463,6487600,4372725,3630646,742079,670848,1444027,301801,79885,1062341,209219,853122,460831,392291,1457645,1176882,543799,-68008,60241,2617490,0.222582619150379,0.67401273198101,0.462067564972529,0.391569418174464,91.481
2012,8110944,1234809,6876136,4608338,3839249,769089,695082,1572715,307917,82372,1182426,245803,936623,539890,396733,1810004,1475416,710023,-11449,-146186,2807524,0.228720752469119,0.670192968841803,0.481235800614877,0.365923915695641,93.185
2013,8417763,1282795,7134968,4773788,3971081,802707,726674,1634506,301337,84166,1249003,263956,985047,550095,434953,1821323,1458906,600014,13894,-152919,2917301,0.22908385854008,0.669069293653454,0.411276668956053,0.377059933950508,94.771
2014,8851699,1352680,7499019,5032917,4202500,830417,754668,1711433,310655,82241,1318538,290629,1027909,626369,401539,1949376,1542486,644215,1830,-143250,3064114,0.228220917962736,0.671143385554831,0.417647226619885,0.40607759162806,96.421
2015,9222330,1408263,7814067,5303853,4439667,864186,771216,1738998,324537,99763,1314698,283948,1030750,683656,347094,1842345,1446219,480295,57911,-122327,3147261,0.222547106391588,0.678757041627619,0.332103920637193,0.472719553539263,97.316
2016,9346389,1441019,7905370,5448417,4574390,874027,785159,1671794,343885,73341,1254568,262059,992509,729527,262982,1820049,1444015,490284,5227,-100875,3112813,0.211475743703331,0.689204553360564,0.339528328999352,0.505207355879267,98.241
2017,9771449,1509413,8262036,5727599,4804918,922681,825905,1708532,351963,92900,1263670,213815,1049855,769578,280276,1796221,1499065,455573,-47588,-22290,3217945,0.20679309555175,0.6932430456609,0.303904767304953,0.513372001881173,100
2018,10337804,1582147,8755657,6047036,5068451,978585,873481,1835141,358281,97765,1379096,212944,1166151,282406,883746,1796977,1499553,1080598,-51012,98612,3417287,0.209594893906876,0.690643317800138,0.720613409462687,0.188326788049505,102.291
2019,10799812,1664696,9135116,6344263,5323469,1020794,928990,1861862,372810,89471,1399581,196788,1202793,667792,535001,1842457,1545262,607490,540,95299,3526559,0.203813722781407,0.694491783136635,0.393130744171539,0.43215454725477,103.979
2020,10498662,1728115,8770547,6350094,5351749,998344,507876,1912578,324369,90877,1497331,211997,1285334,828245,457089,2077667,1766607,599192,-19127,-92276,3640692,0.218068268718017,0.724024852725833,0.339176738233235,0.468833758725059,105.377
2021,12072724,1815454,10257270,6998733,5919114,1079619,702594,2555943,326392,122876,2106675,343781,1762893,1158014,604880,2966585,2497709,953179,-256375,-12420,4371397,0.249183554688528,0.682319272087017,0.38162131777561,0.463630470963591,110.186
2022,13445428,2010486,11434942,7593396,6451907,1141490,1104840,2736706,307810,119058,2309838,471821,1838017,1268698,569319,3157852,2557284,912728,-161468,-83266,4747192,0.239328367384811,0.664051990819018,0.356913037425644,0.496111499544048,118.023
2023,14163359,2154291,12009068,8015626,6796351,1219275,1115707,2877736,218873,97823,2561040,486859,2074181,1385640,688541,3382161,2769151,1027997,32987,-270898,5032026,0.239630252739014,0.667464452695247,0.371231832428062,0.500384413851032,122.39
2024,14849197,2274356,12574841,8451105,7152832,1298274,1165975,2957761,199330,111445,2646986,540201,2106785,1539583,567202,3721570,3041229,1161225,-8915,-368494,5232117,0.235212596326268,0.672064561293459,0.381827544061957,0.506237116639359,125.428
