"year","asset","K_net_cc","K_gross_cc","K_net_chain","K_net_real","IG_cc","IG_real","D_cc","D_real","p_K"
1959,"Nondefense_Total",6588,6692,9.121,79209.68272,7.861,94.5153788497146,104,1250.42607815422,0.0831716499015412
1960,"Nondefense_Total",6854,6966,9.902,85992.13664,8.599,107.885378314467,112,1405.18227366209,0.0797049621954829
1961,"Nondefense_Total",7406,7529,10.684,92783.27488,9.383,117.551372967734,123,1540.9590616041,0.0798204203244437
1962,"Nondefense_Total",8354,8488,11.589,100642.58448,10.227,123.207051888552,134,1614.32922196792,0.0830066123913991
1963,"Nondefense_Total",9454,9613,12.7,110290.864,11.221,130.904779452507,159,1854.90240913899,0.0857187953482711
1964,"Nondefense_Total",10261,10433,13.928,120955.20896,12.357,145.662558923957,172,2027.51154284378,0.0848330558743718
1965,"Nondefense_Total",11793,11984,15.358,133373.78656,13.672,154.624472979591,191,2160.12831620114,0.088420673238476
1966,"Nondefense_Total",13332,13557,16.63,144420.2416,14.989,162.369862086889,225,2437.33531053105,0.0923139294900612
1967,"Nondefense_Total",14858,15102,17.968,156039.86176,16.266,170.82678633653,244,2562.50681581909,0.0952192589279054
1968,"Nondefense_Total",17273,17552,19.442,168840.54944,17.671,172.730929725829,279,2727.17613001563,0.102303623491454
1969,"Nondefense_Total",20047,20382,21.146,183638.63072,19.229,176.145419769286,335,3068.73553605028,0.109165483980145
1970,"Nondefense_Total",22391,22771,22.264,193347.70048,20.594,177.830491880002,380,3281.32402225894,0.115806911302346
1971,"Nondefense_Total",25851,26282,23.416,203352.03712,21.7,170.698975107501,431,3390.38056549921,0.127124371932134
1972,"Nondefense_Total",29048,29528,24.533,213052.42256,22.831,167.453864619504,480,3520.55779498761,0.136342030993895
1973,"Nondefense_Total",33277,33807,25.854,224524.40928,24.095,162.572216293584,530,3575.98151631457,0.148211056903398
1974,"Nondefense_Total",40124,40736,27.307,237142.72624,25.592,151.255025668779,612,3617.07079201675,0.169197683758567
1975,"Nondefense_Total",44238,44936,29.12,252887.3984,27.417,156.729820559989,698,3990.13074920204,0.174931610985326
1976,"Nondefense_Total",49349,50101,30.863,268024.16816,29.479,160.10627273478,752,4084.26056163894,0.184121455683581
1977,"Nondefense_Total",56068,56959,32.291,280425.37712,31.289,156.492645086461,891,4456.35676346436,0.199939108848937
1978,"Nondefense_Total",64668,65753,33.809,293608.17488,32.871,149.242195776589,1085,4926.15930204738,0.220252722957834
1979,"Nondefense_Total",74877,76126,35.154,305288.58528,34.335,139.990699087688,1249,5092.42414913418,0.245266294287831
1980,"Nondefense_Total",86311,87751,36.461,316638.99152,35.692,130.939033093486,1440,5282.75825548076,0.272584875241268
1981,"Nondefense_Total",95495,97138,37.697,327372.81104,37.004,126.855892975801,1643,5632.47843906718,0.291701072232086
1982,"Nondefense_Total",102475,104291,38.716,336222.13312,38.142,125.14451916529,1816,5958.32538420025,0.304783623401217
1983,"Nondefense_Total",108310,110147,39.699,344758.81968,39.198,124.770161700828,1837,5847.30820563346,0.314161651036315
1984,"Nondefense_Total",115300,117328,40.707,353512.61424,40.262,123.444274714058,2028,6217.89749938179,0.326155263929911
1985,"Nondefense_Total",121927,124075,41.804,363039.31328,41.347,123.111259082797,2148,6395.69943429626,0.335850679361444
1986,"Nondefense_Total",131200,133498,43.238,375492.62816,42.692,122.183927449746,2298,6576.84496579024,0.349407658528238
