"year","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_WITH_RC_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_WITH_RC_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_WITH_RC_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_WITH_RC_D_real","TOTAL_ALL_D_real","ME_Ret_real","NRC_Ret_real","RC_Ret_real","IP_Ret_real","NR_Ret_real","TOTAL_PRODUCTIVE_Ret_real","TOTAL_WITH_RC_Ret_real","TOTAL_ALL_Ret_real"
1961,121746.96324,4332385.97976,3264319.89989,832213.41187,4454132.943,4454132.943,7718452.84289,8550666.25476,247802.833595687,4214276.16578867,5334573.19133867,450569.050083098,4462078.99938436,4462078.99938436,9796652.19072303,10247221.2408061,18225.9858808401,227849.260376987,279734.601847999,100748.006080305,246075.246257827,246075.246257827,525809.848105826,626557.854186131,18983.5808175337,114213.778996078,186394.204320658,79246.7410553223,133197.359813612,133197.359813612,319591.56413427,398838.305189592,16398.3462653462,107741.267713829,103159.971214095,87455.2610006982,124139.613979175,124139.613979175,227299.585193271,314754.846193969
1962,122408.61696,4454863.25128,3373397.24008,858599.60504,4577271.86824,4577271.86824,7950669.10832,8809268.71336,250887.233749775,4342989.20006615,5529996.69061321,468664.679082652,4593876.43381592,4593876.43381592,10123873.1244291,10592537.8035118,19604.5890604673,239615.038640339,302114.963101313,108209.439016174,259219.627700806,259219.627700806,561334.590802119,669544.029818293,18945.1293918885,117621.670590495,193246.290617126,81949.6618007413,136566.799982383,136566.799982383,329813.090599509,411762.75240025,16520.1889063791,110902.00436286,106691.463826773,90113.8100166196,127422.193269239,127422.193269239,234113.657096012,324227.467112632
1963,125990.11908,4574936.23456,3485401.52142,888229.67803,4700926.35364,4700926.35364,8186327.87506,9074557.55309,256938.652578806,4469566.90160231,5732802.46080241,490022.611797522,4726505.55418111,4726505.55418111,10459308.0149835,10949330.626781,22777.2344123492,240866.891011582,313405.704001465,115090.868531401,263644.125423931,263644.125423931,577049.829425396,692140.697956797,19214.7502987262,120782.760335131,201561.165803109,85582.6233707557,139997.510633857,139997.510633857,341558.676436967,427141.299807722,16725.8155833183,114289.189475425,110599.933812264,93732.9358165304,131015.005058743,131015.005058743,241614.938871008,335347.874687538
1964,129847.53348,4717496.38432,3619455.42609,930123.19912,4847343.9178,4847343.9178,8466799.34389,9396922.54301,263298.117285583,4615006.17296129,5959810.04403065,522804.017561784,4878304.29024688,4878304.29024688,10838114.3342775,11360918.3518393,23488.708212031,263059.452980099,341663.632444286,130785.928123766,286548.16119213,286548.16119213,628211.793636416,758997.721760182,19663.5040217805,122603.278858048,209076.782358857,89270.0327510447,142266.782879829,142266.782879829,351343.565238686,440613.59798973,17129.2435052537,117620.181621113,114656.049216048,98004.5223595044,134749.425126367,134749.425126367,249405.474342415,347409.99670192
1965,136790.8794,4896969.43,3791754.69512,992666.78443,5033760.3094,5033760.3094,8825515.00452,9818181.78895,273096.266259834,4797161.57367183,6231219.12749798,575279.457043526,5070257.83993166,5070257.83993166,11301476.9674296,11876756.4244732,27351.3567932901,303602.93157794,390605.284347941,157036.242994099,330954.288371231,330954.288371231,721559.572719172,878595.81571327,20470.8983030309,126781.993157324,219888.401414957,94938.2856073072,147252.891460354,147252.891460354,367141.292875311,462079.578482618,17553.2078190389,121447.530867402,119196.200880613,104560.803512357,139000.738686441,139000.738686441,258196.939567054,362757.743079411
1966,145263.79728,5087898.202,3982200.99928,1076256.02906,5233161.99928,5233161.99928,9215362.99856,10291619.02762,284745.6535878,4990910.57122719,6526839.29020037,643798.547706677,5275656.22481499,5275656.22481499,11802495.5150154,12446294.062722,29855.8050786207,319990.091599352,420244.545252351,183574.982071856,349845.896677972,349845.896677972,770090.441930323,953665.424002179,21500.6851931035,132064.411469002,232782.852295459,101627.571221049,153565.096662106,153565.096662106,386347.948957565,487975.520178614,18206.4177506556,126241.094043996,124624.38254996,115055.891408705,144447.511794651,144447.511794651,269071.894344611,384127.785753316
1967,152780.39784,5267795.53384,4153719.75067,1149045.52746,5420575.93168,5420575.93168,9574295.68235,10723341.20981,295909.934161789,5171801.26269823,6809669.46908867,696501.690210082,5467711.19686002,5467711.19686002,12277380.6659487,12973882.3561588,30147.3241465097,312230.443345438,413366.964692304,181462.85204474,342377.767491948,342377.767491948,755744.732184252,937207.584228993,22700.7545594227,136221.818397009,245149.098870553,109820.280500602,158922.572956432,158922.572956432,404071.671826985,513891.952327586,18983.04357252,131339.7518744,130536.785804007,128759.709541335,150322.79544692,150322.79544692,280859.581250927,409619.290792262
1968,156750.32016,5446561.43592,4339092.69017,1217404.36074,5603311.75608,5603311.75608,9942404.44625,11159808.80699,303540.502865364,5348067.82649869,7110896.97935531,739714.202515919,5651608.32936405,5651608.32936405,12762505.3087194,13502219.5112353,27357.8976476939,312366.597029361,437420.899648422,182512.850347854,339724.494677055,339724.494677055,777145.394325478,959658.244673332,23478.186654495,139442.702068862,256654.368019835,115913.42136645,162920.888723357,162920.888723357,419575.256743192,535488.678109641,19727.3289441193,136100.033228901,136193.389381773,139300.338042016,155827.36217302,155827.36217302,292020.751554793,431321.08959681
1969,160752.3876,5639187.35256,4542027.27657,1287543.37197,5799939.74016,5799939.74016,10341967.01673,11629510.3887,311169.177998671,5538837.5723724,7436725.06395152,783500.40587207,5850006.75037107,5850006.75037107,13286731.8143226,14070232.2201947,27864.7086576651,331508.372886833,468046.024183311,191729.043859335,359373.081544498,359373.081544498,827419.105727809,1019148.14958714,23952.7126826511,144398.41183022,270152.119031644,123194.478194619,168351.124512871,168351.124512871,438503.243544516,561697.721739134,20236.0335243576,140738.627013123,142217.939587106,147942.840503184,160974.660537481,160974.660537481,303192.600124587,451135.440627771
1970,165651.83964,5826014.69168,4719595.03967,1346605.7204,5991666.53132,5991666.53132,10711261.57099,12057867.29139,319416.224044527,5722693.96694781,7743181.35568385,813823.620389956,6042110.19099233,6042110.19099233,13785291.5466762,14599115.1670661,28991.6579124332,329615.278058894,455190.793011361,187023.295692299,358606.935971327,358606.935971327,813797.728982688,1000821.02467499,24250.7029515299,148615.062424123,282236.466091175,129355.493000133,172865.765375653,172865.765375653,455102.231466828,584457.724466961,20744.6118665781,145758.883483484,148734.50127903,156700.081174414,166503.495350062,166503.495350062,315237.996629093,471938.077803507
1971,169999.46712,6002659.16296,4890918.66165,1389883.82434,6172658.63008,6172658.63008,11063577.29173,12453461.11607,327436.275504571,5894200.70078836,8046566.17267739,826703.280143316,6221636.97629293,6221636.97629293,14268203.1489703,15094906.4291136,29314.4663963461,322103.943497071,458248.44410722,175644.383831351,351418.409893417,351418.409893417,809666.854000638,985311.237831988,25076.6987077496,151570.532319974,291234.207592908,133407.964408745,176647.231027723,176647.231027723,467881.438620631,601289.403029377,21294.4149363018,150597.209656521,154863.627113677,162764.724077991,171891.624592823,171891.624592823,326755.2517065,489519.975784491
1972,176318.66196,6183829.35328,5087999.36575,1438700.25968,6360148.01524,6360148.01524,11448147.38099,12886847.64067,338516.811908711,6076788.31025877,8381389.22680395,849843.12238953,6415305.12216748,6415305.12216748,14796694.3489714,15646537.471361,32909.6214377783,337698.154228003,495754.37758011,188480.498274877,370607.775665781,370607.775665781,866362.153245891,1054842.65152077,26373.4503478521,157420.107043122,302731.606701137,137868.254138586,183793.557390974,183793.557390974,486525.164092111,624393.418230697,21829.0850336381,155110.544757588,160931.323453548,165340.656028663,176939.629791226,176939.629791226,337870.953244774,503211.609273437
1973,190328.57676,6383950.99208,5327618.28123,1497802.16762,6574279.56884,6574279.56884,11901897.85007,13399700.01769,356665.039915061,6274206.1881506,8759436.98485056,879537.47363826,6630871.22806566,6630871.22806566,15390308.2129162,16269845.6865545,40716.0154669307,357333.359740744,545675.542582684,199662.975726636,398049.375207675,398049.375207675,943724.917790359,1143387.893517,26891.6981943376,164594.042926427,314074.979589929,141943.801925332,191485.741120765,191485.741120765,505560.720710694,647504.522636025,22567.7874605807,159915.481848915,167627.784536079,169968.624477906,182483.269309496,182483.269309496,350111.053845575,520079.678323481
1974,200874.85488,6566676.89832,5520406.13831,1576525.59252,6767551.7532,6767551.7532,12287957.89151,13864483.48403,369096.114991796,6443145.12885001,9075092.8910553,919717.562148544,6812241.2438418,6812241.2438418,15887334.1348971,16807051.6970457,36208.744404406,334049.629861265,490844.645901759,216087.583237935,370258.374265671,370258.374265671,861103.02016743,1077190.60340537,26589.1332542763,165758.615116602,313321.830189291,143182.713616545,192347.748370878,192347.748370878,505669.578560169,648852.292176713,23777.6693276707,165110.689161858,175188.739697011,175907.494727652,188888.358489529,188888.358489529,364077.09818654,539984.592914192
