"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_WITH_RC_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_WITH_RC_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_WITH_RC_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_WITH_RC_D_cc","TOTAL_ALL_D_cc","ME_Ret_cc","NRC_Ret_cc","RC_Ret_cc","IP_Ret_cc","NR_Ret_cc","TOTAL_PRODUCTIVE_Ret_cc","TOTAL_WITH_RC_Ret_cc","TOTAL_ALL_Ret_cc","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_WITH_RC_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_WITH_RC_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_WITH_RC_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_WITH_RC_D_real","TOTAL_ALL_D_real","ME_Ret_real","NRC_Ret_real","RC_Ret_real","IP_Ret_real","NR_Ret_real","TOTAL_PRODUCTIVE_Ret_real","TOTAL_WITH_RC_Ret_real","TOTAL_ALL_Ret_real","adj_depression","adj_wwii","adj_gpim","adj_quality"
1935,2390,81628,86335,16500,84018,84018,170353,186853,5446.29796112115,77563.6209297246,123207.1447029,7788.80923414402,83009.9188908457,83009.9188908457,206217.063593745,214005.872827889,448,1489,3415,1257,1937,1937,5352,6609,405,2086,4107,1208,2491,2491,6598,7806,357.021282937225,2056.0708359385,2444.73764699795,1632.95230853601,2413.09211887573,2413.09211887573,4857.82976587367,6490.78207440968,40425.16716,2975943.12624,1936854.52366,339895.30992,3016368.2934,3016368.2934,4953222.81706,5293118.12698,92120.2951805395,2827766.50845419,2764050.68124217,160447.256275584,2919886.80363473,2919886.80363473,5683937.4848769,5844384.74115249,7577.60455551464,54285.0408557279,76612.7086152649,25893.8427011782,61862.6454112426,61862.6454112426,138475.354026508,164369.196727686,6850.2898325523,76050.0975319332,92137.1579159277,24884.4566292945,82900.3873644855,82900.3873644855,175037.545280413,199922.001909708,6038.76361607321,74958.9585837422,54845.6729107532,33638.3533936015,80997.7221998155,80997.7221998155,135843.395110569,169481.74850417,FALSE,FALSE,TRUE,FALSE
1936,2603,90383,95070,18522,92986,92986,188056,206578,5779.05123969036,85707.9376725467,136963.929061794,8466.35904326147,91486.9889122371,91486.9889122371,228450.917974031,236917.277017293,583,1942,4392,1609,2525,2525,6917,8526,425,2113,4141,1268,2538,2538,6679,7947,371.14651712074,2263.94426142018,2705.54957268967,1714.33976081537,2635.09077854092,2635.09077854092,5340.64035123059,7054.98011204596,43071.78204,2970851.69232,1942513.27655,346699.54564,3013923.47436,3013923.47436,4956436.75091,5303136.29655,95625.8299630944,2817184.33421929,2798508.99980001,158475.47962012,2912810.16418239,2912810.16418239,5711319.1639824,5869794.64360252,9646.88779459086,63832.7338823168,89739.3321826822,30117.6745996523,73479.6216769077,73479.6216769077,163218.95385959,193336.628459242,7032.46537341529,69453.4329007906,84610.7865593094,23734.7491562207,76485.8982742059,76485.8982742059,161096.684833515,184831.433989736,6141.35301203597,74414.9081172156,55281.0136248435,32089.4512551169,80556.2611292515,80556.2611292515,135837.274754095,167926.726009212,FALSE,FALSE,TRUE,FALSE
1937,2909,93105,98496,19865,96014,96014,194510,214375,6247.28298804501,88351.529570243,143281.984579269,9160.59216696415,94598.812558288,94598.812558288,237880.797137557,247041.389304521,713,2716,5480,2160,3429,3429,8909,11069,475,2380,4600,1448,2855,2855,7455,8903,395.305927717501,2314.47377216873,2812.28539957691,1750.14804174104,2709.77969988623,2709.77969988623,5522.06509946314,7272.21314120418,46913.12388,2982307.41864,1960270.05286,359754.18394,3029220.54252,3029220.54252,4989490.59538,5349244.77932,100749.24741546,2830045.88459832,2851601.92784569,165897.878652572,2930795.13201378,2930795.13201378,5782397.05985947,5948294.93851204,11498.4727832382,86997.9802269077,109063.108041675,39117.4949564762,98496.4530101459,98496.4530101459,207559.561051821,246677.056008297,7660.27289205913,76235.3434978057,91549.3242685591,26223.2095819341,83895.6163898648,83895.6163898648,175444.940658424,201668.150240358,6375.05533087296,74136.4298478761,55970.1799960003,31695.0959240239,80511.4851787491,80511.4851787491,136481.665174749,168176.761098773,FALSE,FALSE,TRUE,FALSE
1938,2963,91575,97834,19406,94538,94538,192372,211778,6360.65691466709,86943.5100260656,144165.479438923,8692.73243860362,93304.1669407327,93304.1669407327,237469.646379656,246162.378818259,590,2186,4540,1554,2776,2776,7316,8870,507,2351,4668,1499,2858,2858,7526,9025,412.189779619078,2290.74351421799,2849.49958038619,1784.6831096509,2702.93329383707,2702.93329383707,5552.43287422325,7337.11598387416,48281.97024,2977215.98472,1958123.62935,360782.7312,3025497.95496,3025497.95496,4983621.58431,5344404.31551,103646.658069796,2826640.54400509,2885436.88110398,161609.180191191,2930287.20207489,2930287.20207489,5815724.08317887,5977333.26337006,9614.02714870064,71069.5511067204,90866.9918152074,28890.8772691333,80683.578255421,80683.578255421,171550.570070628,200441.447339762,8261.54536337496,76433.904232342,93428.8805712309,27868.3558728641,84695.449595717,84695.449595717,178124.330166948,205992.686039812,6716.61649436398,74474.8916999559,57032.0385569137,33179.5757305144,81191.5081943199,81191.5081943199,138223.546751234,171403.122481748,FALSE,FALSE,TRUE,FALSE
1939,3020,91022,97988,20084,94042,94042,192030,212114,6498.17299763872,86468.3013545678,146074.146764865,8870.37568121135,92966.4743522065,92966.4743522065,239040.621117072,247910.996798283,561,2276,4837,1759,2837,2837,7674,9433,504,2327,4649,1520,2831,2831,7480,9000,424.083785545623,2275.46760417751,2882.39075030337,1777.84392030284,2699.55138972313,2699.55138972313,5581.9421400265,7359.78606032934,49206.14244,2975518.84008,1961831.08814,365134.2773,3024724.98252,3024724.98252,4986556.07066,5351690.34796,105877.492093236,2826657.94808103,2924570.37899373,161266.59100471,2932535.44017427,2932535.44017427,5857105.819168,6018372.41017271,9140.61122809272,74402.6815497581,96842.2355118298,31979.2468517576,83543.2927778508,83543.2927778508,180385.528289681,212364.775141438,8211.88602309934,76069.8769623405,93078.2619174068,27634.1416797451,84281.7629854399,84281.7629854399,177360.024902847,204994.166582592,6909.77720465309,74385.2774738181,57708.7376220796,32321.8360382382,81295.0546784712,81295.0546784712,139003.792300551,171325.628338789,FALSE,FALSE,TRUE,FALSE
1940,3157,96467,103663,22219,99624,99624,203287,225506,6752.69518571675,91599.5184153916,155791.949372137,9928.53991710958,98352.2136011083,98352.2136011083,254144.162973245,264072.702890355,637,2586,5707,2329,3223,3223,8930,11259,524,2377,4813,1646,2901,2901,7714,9360,436.83537040834,2405.77076798356,3062.95815045177,1899.88497927739,2842.6061383919,2842.6061383919,5905.56428884367,7805.44926812106,51011.62668,2982731.7048,1979587.86445,377199.92785,3033743.33148,3033743.33148,5013331.19593,5390531.12378,109111.804212105,2832230.58374366,2975062.00241254,168551.444276951,2941342.38795577,2941342.38795577,5916404.3903683,6084955.83464525,10292.8115917517,79958.3711384494,108983.03099868,39538.1714731829,90251.1827302011,90251.1827302011,199234.213728881,238772.385202064,8466.92821676275,73496.1516612893,91910.868792123,27943.2504271614,81963.0798780521,81963.0798780521,173873.948670175,201817.199097337,7058.4994728824,74385.7354758165,58491.4075798746,32253.3182009421,81444.2349486989,81444.2349486989,139935.642528574,172188.960729516,FALSE,FALSE,TRUE,FALSE
1941,3722,108184,115403,26305,111906,111906,227309,253614,7692.52155625784,102557.426271067,174580.991181953,12117.4552951036,110249.947827325,110249.947827325,284830.939009278,296948.394304381,873,3106,6470,3240,3979,3979,10449,13689,579,2563,5265,1893,3142,3142,8407,10300,487.108682589846,2687.87638570451,3430.83655473373,2219.3638237759,3174.98506829436,3174.98506829436,6605.82162302809,8825.18544680399,55581.59124,2999844.57992,2001442.35837,399551.051,3055426.17116,3055426.17116,5056868.52953,5456419.58053,114874.419329611,2843824.77380948,3027770.42813254,184054.058110784,2958699.1931391,2958699.1931391,5986469.62127164,6170523.67938242,13036.7353983127,86126.5738485499,112209.665768255,49212.9026892226,99163.3092468626,99163.3092468626,211372.975015117,260585.87770434,8646.35715420742,71069.6744281498,91311.2658840589,28753.0940712032,79716.0315823572,79716.0315823572,171027.297466416,199780.391537619,7274.12028080702,74532.3837827279,59501.2400482507,33710.2888553902,81806.504063535,81806.504063535,141307.744111786,175018.032967176,FALSE,FALSE,TRUE,FALSE
1942,3833,115951,121338,28695,119784,119784,241122,269817,8064.32237066431,109889.051129243,186370.687070548,13067.6744175606,117953.373499907,117953.373499907,304324.060570455,317391.734988015,648,2191,4604,2669,2839,2839,7443,10112,675,2871,5927,2239,3546,3546,9473,11712,529.737312190308,2910.75813862817,3709.52422592954,2599.66860439014,3440.49545081848,3440.49545081848,7150.01967674803,9749.68828113817,55412.82936,2981175.98888,1980758.64091,406315.72721,3036588.81824,3036588.81824,5017347.45915,5423663.18636,116584.116730929,2825319.32167298,3042372.12437423,185035.777449543,2941903.43840391,2941903.43840391,5984275.56277815,6169311.34022769,9367.99202329246,56332.0419111183,75157.1048043452,37792.5309609162,65700.0339344108,65700.0339344108,140857.138738756,178649.669699672,9758.32502426298,73815.2863198634,96754.1616366972,31703.812971709,83573.6113441264,83573.6113441264,180327.772980824,212031.585952533,7658.29462197407,74837.494047618,60555.4085626508,36810.8116221567,82495.7886695921,82495.7886695921,143051.197232243,179862.0088544,FALSE,FALSE,TRUE,FALSE
1943,3782,117605,123126,28738,121387,121387,244513,273251,8222.2309856219,111525.707348585,192093.687089759,12684.5178660691,119747.938334207,119747.938334207,311841.625423966,324526.143290035,479,1726,4336,2147,2205,2205,6541,8688,645,3085,5956,2342,3730,3730,9686,12028,553.087927544421,2967.55965806987,3831.78953244405,2634.37946651728,3520.6475856143,3520.6475856143,7352.43711805835,9986.81658457563,53146.5984,2946525.95248,1955196.6882,403704.79955,2999672.55088,2999672.55088,4954869.23908,5358574.03863,115542.995278922,2794212.75516599,3050378.80563019,178189.183050658,2909755.75044491,2909755.75044491,5960134.55607511,6138323.73912576,6731.15299672131,43243.9419580841,68854.1237434433,30160.5610910241,49975.0949548054,49975.0949548054,118829.218698249,148989.779789273,9063.86990163935,77292.9090038757,94579.1423007261,32899.8761412102,86356.778905515,86356.778905515,180935.921206241,213835.797347451,7772.27444872863,74350.5084650785,60847.4424874847,37007.1554899086,82122.7829138072,82122.7829138072,142970.225401292,179977.3808912,FALSE,FALSE,TRUE,FALSE
1944,3942,118953,124151,29092,122895,122895,247046,276138,8488.57323410124,112911.595920132,196305.814442873,12918.3807622744,121400.169154233,121400.169154233,317705.983597106,330624.36435938,824,2317,5305,2774,3141,3141,8446,11220,674,3108,6123,2424,3782,3782,9905,12329,547.469516721517,2989.04313297653,3897.97580495658,2536.09519056859,3536.51264969805,3536.51264969805,7434.48845465463,9970.58364522322,55463.7258,2926301.64552,1943098.66478,408807.97634,2981765.37132,2981765.37132,4924864.0361,5333672.01244,119433.764152565,2777680.16728767,3072400.27009445,181532.28024938,2897113.93144024,2897113.93144024,5969514.20153469,6151046.48178407,11593.6352255708,56999.3267313127,83029.0405768612,38980.9338088533,68592.9619568835,68592.9619568835,151622.002533745,190602.936342598,9483.14337625571,76458.3113858092,95831.6334499758,34062.6472792575,85941.4547620649,85941.4547620649,181773.088212041,215835.735491298,7702.86635192814,73531.9146096313,61007.5761126039,35637.8366101317,81234.7809615594,81234.7809615594,142242.357074163,177880.193684295,FALSE,FALSE,TRUE,FALSE
1945,4312,127947,133772,33256,132259,132259,266031,299287,9106.90018180034,121496.082192905,212592.820289315,15086.3354556506,130602.982374705,130602.982374705,343195.802664021,358282.138119671,906,3289,7712,3719,4195,4195,11907,15626,696,3234,6272,2536,3930,3930,10202,12738,585.77858441431,3194.78600521365,4181.24123039418,2841.83386391265,3780.56458962796,3780.56458962796,7961.80582002214,10803.6396839348,58611.2688,2927433.07528,1965928.80575,424869.1374,2986044.34408,2986044.34408,4951973.14983,5376842.28723,123786.404102567,2779835.78769684,3124288.70991237,192738.703739755,2903622.19179941,2903622.19179941,6027910.90171177,6220649.60545153,12314.8908935065,75252.4669167383,113336.445219807,47512.8795402514,87567.3578102448,87567.3578102448,200903.803030052,248416.682570303,9460.44598441558,73994.0644599367,92174.0384360255,32399.2101409189,83454.5104443523,83454.5104443523,175628.548880378,208027.759021297,7962.25094350431,73096.8465075703,61448.005401889,36306.456049876,81059.0974510746,81059.0974510746,142507.102852964,178813.55890284,FALSE,FALSE,TRUE,FALSE
1946,4848,158579,164052,40847,163427,163427,327479,368326,10089.4045927531,150097.835003203,259697.428150724,19523.0183745419,160187.239595956,160187.239595956,419884.66774668,439407.686121222,981,6617,11322,5804,7598,7598,18920,24724,754,3659,7182,2961,4413,4413,11595,14556,650.600328053795,3877.86040549197,5068.88628879028,3429.75459363548,4528.46073354577,4528.46073354577,9597.34702233605,13027.1016159715,61493.61456,2991500.28544,2022321.20524,459088.11355,3052993.9,3052993.9,5075315.10524,5534403.21879,127977.301395762,2831508.05753604,3201372.83236718,219423.352421731,2959485.3589318,2959485.3589318,6160858.19129898,6380281.54372071,12443.3242333663,124825.843199645,139569.896653057,65232.3894299263,137269.167433011,137269.167433011,276839.064086068,342071.453515994,9563.98213247525,69024.8995417108,88534.799307742,33279.3082532756,78588.8816741861,78588.8816741861,167123.680981928,200402.989235204,8252.42694017113,73153.5733604431,62485.7741982474,38547.7407479511,81406.0003006143,81406.0003006143,143891.774498862,182439.515246813,FALSE,FALSE,TRUE,FALSE
1947,6161,189599,196010,49855,195760,195760,391770,441625,12019.3968019208,179225.200105312,309228.294950626,24863.3092028034,191244.596907232,191244.596907232,500472.891857858,525336.201060662,1839,7493,15135,7278,9332,9332,24467,31745,923,4519,8971,3624,5442,5442,14413,18037,727.1712001372,4641.41081365707,6001.9039785842,4396.32730070084,5368.58201379427,5368.58201379427,11370.4859923785,15766.8132930793,72286.3386,3043828.91184,2091006.75756,497658.6358,3116115.25044,3116115.25044,5207122.008,5704780.6438,141022.267000715,2877287.56908452,3298803.39967612,248188.557603865,3018309.83608524,3018309.83608524,6317113.23576135,6565301.79336522,21576.7856980036,120292.881483642,161458.023956281,72649.8756664808,141869.667181646,141869.667181646,303327.691137927,375977.566804408,10829.4579658822,72548.1824936047,95701.3500437261,36175.2060202427,83377.6404594869,83377.6404594869,179078.990503213,215254.196523456,8531.82009305081,74513.369935159,64027.4566473436,43884.6704843461,83045.1900282098,83045.1900282098,147072.646675553,190957.317159899,FALSE,FALSE,TRUE,FALSE
