"year","VAcorp","GVAcorp","DEPCcorp","NOScorp","ECcorp","Pcorp","GVAcorpnipa","VAcorpnipa","NOScorpnipa","Pcorpnipa","Tcorp","CorpImpIntAdj","KGCcorp","KNCcorp","KNCcorpbea","KNRcorpbea","IGCcorpbea","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","exploit_rate","profit_share","rcorp","R_obs","R_net","Py","uK","y_ext","k_ext","vintage"
1957,233265,257829,24564,43957,166500,46048,261661,237097,47789,46048,22808,-3832,769779.801793912,380982.548395999,408618,1865771.96267,39716,24593,0.0625341792716445,0.0646682180938482,21.9007471532186,0.264006006006006,0.197406383297966,0.13081150277252,0.3349386401139,0.676747533674452,14.744,NA,9.66909420495602,10.8630235608684,"current"
1958,226014,252410,26396,38900,163977,41334,256831,230435,43321,41334,23137,-4421,782988.138910931,391600.691430767,417497,1906594.30361,35312,26425,0.0646787123819831,0.064669202042005,21.897526873415,0.237228391786653,0.182882476306777,0.108493158476742,0.322367590843816,0.644559638231959,15.08,NA,9.61498286065864,10.8575034640165,"current"
1959,254543,282163,27620,48701,180289,52796,287446,259826,53984,52796,25553,-5283,811615.398950373,410520.040264494,435207,1954936.54946,38340,27653,0.0651509505883584,0.0662352064805256,22.2619501446333,0.270127406552812,0.207414857214695,0.134821008122081,0.347656045418691,0.68733063510908,15.287,NA,9.72022226542453,10.8797790663061,"current"
1960,264937,293425,28488,46404,190689,51543,299879,271391,52858,51543,27844,-6454,824500.966102303,422386.864986546,445400,2015095.78874,41698,28521,0.0660051109006831,0.0655343319385947,22.1031676255202,0.243349118197694,0.194548137859189,0.125555380845211,0.355881935938923,0.694683060301476,15.495,NA,9.74672994961595,10.8820162014846,"current"
1961,272181,301705,29524,47687,195554,52629,308729,279205,54711,52629,28940,-7024,842872.078672704,436252.560942365,457811,2071077.30307,41863,29559,0.0663596562917081,0.0663650651100135,22.1049692023266,0.243855917035704,0.193360300682267,0.124599045005049,0.357948741729711,0.691583332710474,15.66,NA,9.76311287458414,10.8934607895601,"current"
1962,296337,327173,30836,54106,210997,60271,335950,305114,62883,60271,31234,-8777,866375.290354203,453394.34983448,473530,2136488.53943,45401,30877,0.0672654198947274,0.0674448626179799,22.1639382220292,0.256430186211178,0.203386684754182,0.138156209031315,0.37763426963186,0.72160802206609,15.85,NA,9.83608309888141,10.9089039540338,"current"
1963,314542,346958,32416,58705,222667,66427,357362,324946,69109,66427,33170,-10404,891641.179185428,471438.631388922,489979,2205600.04646,48072,32457,0.0683844098306236,0.0685426477731084,22.2152244141642,0.263644814902972,0.211186423434708,0.146510427455151,0.389122898425315,0.735955810362454,16.032,NA,9.88428616661381,10.926232340242,"current"
1964,339643,374055,34412,64875,239180,73239,385982,351570,76802,73239,35588,-11927,935022.269783591,500472.781017176,517915,2292616.08899,54222,34457,0.0691549938660245,0.0703234220242092,22.5905681499498,0.27123923404967,0.21563524053197,0.155352139438018,0.400049295175156,0.74740328383046,16.276,NA,9.94595871481672,10.9586339957981,"current"
1965,372502,409642,37140,74822,259864,84583,423777,386637,88957,84583,37816,-14135,989827.361060313,538372.856631839,554788,2410427.93258,64408,37189,0.0704774621912579,0.0718052190031183,23.0161620889525,0.287927531324077,0.227067237222887,0.169006194159233,0.413851966631017,0.760889028772359,16.574,NA,10.020162483488,10.9974506217101,"current"
1966,407171,448031,40860,79730,288528,91594,465090,424230,96789,91594,38913,-17059,1063395.77878479,588419.132176187,604733,2554380.398,74352,40912,0.0716932822445272,0.0737434839974909,23.6743517321651,0.276333666056674,0.224952169972812,0.170131162579461,0.421321025471807,0.761414739087458,17.039,NA,10.0814836893746,11.0414730762654,"current"
1967,427033,472129,45096,77226,308418,89091,491172,446076,96269,89091,41389,-19043,1144952.06975674,641182.743481241,657407,2684844.78001,76530,45154,0.0721930706548607,0.0746676632497317,24.4858475579192,0.250393945878645,0.208627904635005,0.151407381453606,0.412356999450911,0.736340777726831,17.533,NA,10.1005317531089,11.0867885141318,"current"
1968,469766,519758,49992,81737,340182,96111,542111,492119,104090,96111,47847,-22353,1251076.18367117,707935.23225834,724564,2819844.97768,83905,50055,0.0725565733733027,0.0761400471853814,25.695171391873,0.240274323744349,0.204593350732067,0.149896423409923,0.415448720696463,0.734188632400668,18.28,NA,10.1541824113402,11.1337071197872,"current"
1969,507516,563220,55704,77166,377454,91821,590653,534949,104599,91821,52896,-27433,1369957.51487653,782429.864456176,799646,2962365.08026,93218,55774,0.0732735730227067,0.0769759469142823,26.9934993944034,0.204438156702539,0.180922374861088,0.129702543136732,0.411122238378875,0.71983448687949,19.176,NA,10.1836240193626,11.1766307891523,"current"
1970,517996,579800,61804,63021,398010,79144,612127,550323,95348,79144,56965,-32327,1502459.74657411,862200.676562688,879918,3083638.46738,95643,61888,0.073213154782003,0.0773942469542773,28.5350571835232,0.15834024270747,0.152788824624128,0.101151558235841,0.385900521675906,0.67246525752157,20.189,NA,10.152584897576,11.2174762524389,"current"
1971,559617,627237,67620,75162,421650,92792,660922,593302,108847,92792,62805,-33685,1643223.96015515,945027.509896337,963210,3191185.04395,99378,67722,0.0727607766126734,0.0769639898263247,30.1834580801292,0.178256848096763,0.16581340452488,0.107622276950572,0.381711206268425,0.663723535486077,21.212,NA,10.1804408408792,11.2576036401744,"current"
1972,620551,693991,73440,85091,468170,107678,732902,659462,124002,107678,67290,-38911,1779453.52832103,1027281.16139277,1045186,3316397.42888,112722,73569,0.0731502560928061,0.0763789827763416,31.5157040859538,0.181752354913813,0.173519984658795,0.113941656589247,0.390002317540039,0.67556091368316,22.13,NA,10.2414289179671,11.2948827145079,"current"
1973,679612,761592,81980,79423,526064,118492,820208,738228,138039,118492,74125,-58616,1996363.27669121,1159605.97536587,1179246,3471092.6156,132952,82143,0.0729064211609466,0.0785917530468261,33.9733372339349,0.150975926883421,0.174352424618753,0.115345247682095,0.381489686216965,0.656767916153335,23.342,NA,10.2790230130794,11.3565834086533,"current"
1974,712290,808330,96040,56344,577322,108236,889579,793539,137593,108236,78624,-81249,2421140.99332279,1413837.35753375,1440265,3621848.80451,151149,96241,0.0697239262494158,0.0816123183797104,39.76601668757,0.097595449333301,0.151954962164287,0.0933386014726683,0.333863249694783,0.57172771372375,25.443,NA,10.2397997547917,11.4633088158153,"current"
1975,776567,890083,113516,84252,607817,124228,965545,852029,159714,124228,84498,-75462,2691808.14608945,1568223.77694687,1596037,3720920.56761,154861,113760,0.0732262359579354,0.0789854644804949,42.8936057892028,0.138614089438104,0.15997074302668,0.0878658350184628,0.33066361036654,0.567573973232875,27.8,NA,10.2376021817624,11.4806876783416,"current"
1976,882026,1007054,125028,107827,682786,157790,1087308,962280,188081,157790,91413,-80254,2965261.59924453,1724457.1502356,1753560,3828467.14418,172987,125314,0.0735281243877041,0.0785157236329734,45.8031879068296,0.157922101507647,0.178894953209996,0.100617018004406,0.339617253417564,0.58398319718319,29.33,NA,10.3113659300231,11.5238649326202,"current"
1977,1000770,1141226,140456,129056,771696,186670,1232519,1092063,220349,186670,100018,-91293,3300227.74329311,1919657.5254672,1950421,3963347.97828,205344,140799,0.0747323237117394,0.0802932320536509,49.2114497815667,0.167236839377164,0.186526374691488,0.108248558089423,0.345802195717934,0.594494582945075,31.152,NA,10.3774018130365,11.5706235885447,"current"
1978,1133313,1292589,159276,139913,884698,215700,1406890,1247614,254214,215700,108702,-114301,3735242.49419031,2179365.50071654,2214151,4137618.79048,249098,159693,0.075295134783557,0.0818761692988334,53.5126871787804,0.158147752114281,0.190326944101056,0.112363792571544,0.346052231417493,0.593103359475507,33.343,NA,10.4338079043028,11.6264754439801,"current"
1979,1217918,1401270,183352,98468,1004441,214605,1564355,1381003,261553,214605,115009,-163085,4291458.04757983,2514660.70257248,2554540,4334926.77169,295657,183846,0.0754002468665631,0.0830322773830692,58.9292538153787,0.0980326370588218,0.176206444112001,0.0984713210929701,0.326525387051202,0.557240186943117,36.11,NA,10.4260835662152,11.6855672691024,"current"
1980,1264886,1476974,212088,34309,1102003,187655,1702381,1490293,259716,187655,128574,-225407,4921123.45591275,2888021.14811586,2934852,4517194.94308,324889,212651,0.0755037099740441,0.0832443414469924,64.9706739908573,0.0311333090744762,0.148357243261448,0.074624381654364,0.300129434514676,0.511413845069512,39.371,NA,10.3774630528219,11.7360179024157,"current"
1981,1355568,1600448,244880,-19402,1220566,216215,1935130,1690250,315280,216215,154404,-334682,5570211.95724519,3270905.11984617,3322949,4703879.56656,372344,245507,0.0769356388259484,0.0836522591258435,70.6427312387615,-0.0158959040314084,0.159501404577269,0.0748661415242953,0.287322639117582,0.489298203818051,43.097,NA,10.3562777235343,11.7694902754262,"current"
1982,1379649,1652169,272520,-56766,1275114,195169,2018565,1746045,309630,195169,161301,-366396,5976631.45263085,3494400.19327731,3544276,4851412.93908,380674,273224,0.0795066325116577,0.0822233504035121,73.0565722709253,-0.0445183724749317,0.141462792347909,0.05966819361889,0.276438159704951,0.47280474720054,45.759,NA,10.3139511832695,11.779979171291,"current"
1983,1560877,1846753,285876,30458,1352980,242847,2172454,1886578,356159,242847,177439,-325701,6223102.71337937,3615435.01343495,3662057,4983309.68393,383070,286630,0.080398172780535,0.0808712414044504,73.48644239007,0.0225117887921477,0.155583687888283,0.0694960469803087,0.296757595858023,0.510796900825895,47.552,NA,10.3989345516539,11.7819553197641,"current"
1984,1753672,2056840,303168,56979,1501072,300699,2434777,2131609,434916,300699,195621,-377937,6629177.81214874,3846136.40608201,3891586,5182408.11869,451779,303950,0.0812249119995682,0.0829998003854118,75.0922333956151,0.0379588720594349,0.171468210703028,0.0831709044368391,0.310270754275229,0.534780824920161,49.267,NA,10.4799679475642,11.8097368585152,"current"
1985,1891029,2217893,326864,66049,1615931,314980,2601493,2274629,449649,314980,209049,-383600,7033144.91774098,4072755.63741713,4116228,5392368.63832,486853,327679,0.0828318097646762,0.0842019166478654,76.334321261879,0.0408736511645609,0.166565399049935,0.0818951713469946,0.31534868482596,0.54456814929524,50.826,NA,10.5242236486467,11.8377364857951,"current"
1986,1981548,2331416,349868,38572,1723353,284091,2706772,2356904,413928,284091,219623,-375356,7427054.82121222,4274917.50836876,4316632,5562819.81628,481761,350721,0.0838170099027414,0.0852044638926707,77.5979115370061,0.0223819496063778,0.143368215153002,0.0697540008023083,0.313908548694336,0.545370991471981,51.849,NA,10.5510532673054,11.8723042998777,"current"
1987,2114626,2485918,371292,33620,1847640,322803,2895133,2523841,442835,322803,233366,-409215,7901049.92653655,4510642.01408298,4552033,5706891.64527,484819,372009,0.0838402720432719,0.0861803832246993,79.7637888179081,0.018196185404083,0.15265252578943,0.0755109307648785,0.314631349392031,0.55112287613128,53.134,NA,10.5915714980138,11.909689186039,"current"
1988,2256268,2656124,399856,1945,2002309,359258,3142537,2742681,488358,359258,252014,-486413,8487794.92425689,4805640.079601,4847374,5852873.29138,518364,399854,0.0845988405940756,0.0878407515938483,82.8204158654711,0.000971378543471562,0.159226652153024,0.0796467551355963,0.312934516408871,0.552709723575581,55.008,NA,10.6217440496704,11.9466611691165,"current"
1989,2287413,2714561,427148,-99463,2119332,351587,3320147,2892999,506123,351587,267544,-605586,9078486.00719258,5103558.66721986,5142230,6013417.29303,565175,427148,0.0853451998095174,0.0881194642707577,85.5126087118589,-0.0469312972200675,0.153705080805259,0.0731613258954656,0.299010319325199,0.531895717675515,57.165,NA,10.5969902196277,11.975476174385,"current"
1990,2418951,2873639,454688,-100444,2234926,343243,3467335,3012647,493252,343243,284469,-593696,9676808.69030235,5402517.68011481,5441062,6183987.83456,602591,454686,0.0859360112725276,0.0884219492321425,87.986298575685,-0.0449428750661096,0.141897458857166,0.0672556195355701,0.296961435527792,0.531907375440358,59.305,NA,10.6161509136015,12.002549104661,"current"
1991,2572499,3052127,479628,-13257,2277820,372271,3554697,3075069,489313,372271,307936,-502570,10049066.3791717,5550287.3854822,5585582,6309200.21949,590570,479628,0.0876075993739992,0.0881497031278085,88.5307456679748,-0.00582003845782371,0.144711815242688,0.068906947101761,0.303722443940266,0.549904318104933,61.31,NA,10.6444453961888,12.0070473287847,"current"
1992,2849718,3344066,494348,103341,2420482,408200,3742365,3248017,501640,408200,325895,-398299,10527878.1969709,5756955.15025131,5786950,6432741.51444,608234,494349,0.0870975062879896,0.0885044745560982,89.9608664052434,0.0426943889688087,0.143242243618491,0.0735457412651681,0.317639123233983,0.580874075396266,62.707,NA,10.7242575158303,12.0310642788931,"current"
1993,3038509,3555697,517188,179013,2515738,453787,3918863,3401675,542179,453787,343758,-363166,11131896.3229698,6040555.34403307,6069009,6588988.42757,660680,517187,0.0872875819136082,0.0893712577437165,92.1083572495852,0.0711572508742961,0.149345287441966,0.0788241332712468,0.319415209847319,0.588637434389598,64.194,NA,10.7649677441565,12.0634153397765,"current"
1994,3242274,3789858,547584,217152,2649014,556125,4210085,3662501,637379,556125,376108,-420227,11849581.989779,6392171.75282141,6415484,6767914.419,720597,547585,0.0876714582679464,0.09022642741179,94.7926289077977,0.081974651700595,0.171523134688802,0.0920652106183162,0.319830522567716,0.592890514609094,65.564,NA,10.8087587286104,12.104776384972,"current"
1995,3352359,3942787,590428,179717,2787890,623730,4474232,3883804,711162,623730,384752,-531445,12606835.3548054,6771773.09871041,6794677,6993153.47559,808110,590418,0.0897860723846595,0.0920301570388142,97.1618458499046,0.0644634472665708,0.18605704222012,0.0975771653389468,0.312749939936125,0.582238498326361,66.939,NA,10.8213930781675,12.1459679563842,"current"
1996,3599405,4225737,626332,247292,2953697,701602,4770205,4143873,791760,701602,398416,-544468,13308508.8162542,7129449.78692248,7152908,7255872.69316,883000,626340,0.0908540106255681,0.0921809822600839,98.5809468066183,0.0837228734023835,0.19492166066336,0.103606838234673,0.317521448747055,0.592715725097223,68.164,NA,10.8743625457435,12.1819975830079,"current"
1997,3867088,4537144,670056,273581,3176578,782312,5143154,4473098,879591,782312,416929,-606010,14118388.6451772,7550026.81677022,7573981,7550581.34749,963381,670041,0.092059349838522,0.0936739295402653,100.309905309712,0.0861244395698768,0.202300025238629,0.10972964581853,0.321364152385043,0.600944090678199,69.34,NA,10.9289903867325,12.223966724647,"current"
1998,4049919,4764907,714988,171664,3447481,732405,5474446,4759458,881203,732405,430775,-709539,14935118.3914786,7976694.83439081,8001999,7874175.98576,1040534,714984,0.0931799679004424,0.0944000255611943,101.62331924599,0.0497940380237048,0.180844357627893,0.0970069402102218,0.319040457203117,0.597353552934798,70.119,NA,10.9640136401978,12.2690321380321,"current"
1999,4273956,5043588,769632,135739,3684312,745039,5802061,5032429,894212,745039,453905,-758473,15861967.866377,8462064.23994349,8487993,8225224.24513,1129231,769635,0.0947157989156189,0.0961803419370585,103.194669799131,0.0368424281114086,0.174320699604769,0.0934019685431403,0.317967357044709,0.596023364629253,71.111,NA,11.0038083834862,12.3151928072829,"current"
2000,4396422,5235030,838608,-92200,4008927,680747,6216190,5377582,888960,680747,479695,-981160,17008926.8089407,9059915.79601891,9087285,8600145.2185,1231396,838620,0.096491510355173,0.0988007412352956,105.664320416963,-0.0229986727121746,0.154841141273517,0.080446919415557,0.307781323231294,0.577823251105752,72.722,NA,11.0096576340173,12.3626049183673,"current"
2001,4397277,5285861,888584,-85944,4013811,618384,6202593,5314009,830788,618384,469410,-916732,17990028.0749549,9514773.8674771,9528266,8867400.25173,1187409,888572,0.0961544257148147,0.0977819007547359,107.452756495807,-0.0214120694771129,0.140628848262231,0.0682549389997343,0.293821720454055,0.555542472540293,74.36,NA,10.9875778808237,12.396410003659,"current"
2002,4740196,5654783,914587,269925,3972742,773589,6298540,5383953,913682,773589,497529,-643757,18812947.548748,9816861.04797641,9830512,9011113.99001,1070121,914587,0.0945433654997497,0.0959867199341412,109.093193259994,0.0679442561334212,0.163197682121161,0.0813039816578554,0.300579320988769,0.576027609269833,75.515,NA,11.047257731009,12.4257245781388,"current"
2003,5056227,5988768,932541,491078,4040875,918145,6524950,5592409,1027260,918145,524274,-536182,19624029.9636015,10112926.5383353,10127063,9151724.27547,1086552,932541,0.0935209407751471,0.0948618952909065,110.657431268382,0.121527639434528,0.181586981755368,0.0935273500880672,0.305175237252894,0.592189409989108,77.006,NA,11.092247770057,12.448382050909,"current"
2004,5330004,6303018,973014,520429,4240204,1125412,6960008,5986994,1177419,1125412,569371,-656990,21459043.1143879,10958626.7366156,10967477,9309642.27858,1163895,973014,0.0902490051494792,0.0960805714351733,117.807716685682,0.122736783418911,0.211146558238981,0.111284502634709,0.293723162137363,0.575164950088133,79.077,NA,11.118440485295,12.5112346435926,"current"
2005,5454107,6496176,1042069,394852,4442988,1304329,7485433,6443365,1384109,1304329,616267,-989257,23533230.012837,11944377.6006527,11936357,9497759.2649,1295107,1042069,0.0890661830484935,0.0950144686877392,125.675505843911,0.0888708229686868,0.239146206702582,0.119023033756766,0.276042685022687,0.543868941287074,81.556,NA,11.110589559969,12.5726341225416,"current"
2006,5455379,6574682,1119303,119626,4681230,1456385,8029316,6910013,1574260,1456385,654523,-1454634,25516831.1797749,12895951.0131264,12896598,9740425.40271,1432255,1119303,0.0890080470637985,0.0937725806961035,132.402820891292,0.0255543948919408,0.266963120252507,0.121930589327687,0.257660598750648,0.509825292706822,84.071,NA,11.0804509724534,12.6231871587336,"current"
2007,5279948,6468892,1188944,-290582,4894238,1258028,8199258,7010314,1439784,1258028,676292,-1730366,26999212.8049832,13600011.4390158,13605165,10007561.07237,1547563,1188944,0.0897858525675974,0.0921905141185295,135.94885808454,-0.0593722659175953,0.23826522533934,0.0975521695700838,0.23959557809056,0.475653423455366,86.349,NA,11.0210295833994,12.6529210444229,"current"
2008,5497718,6754459,1256741,-127569,4940328,955428,8108788,6852047,1226760,955428,684959,-1354329,28880360.5155653,14477678.2797067,14481024,10231606.49326,1575381,1256741,0.08872828559809,0.0923723453556058,141.532260936142,-0.0258219697153711,0.17378628732867,0.0702519997342842,0.233877239737351,0.466542968389325,88.013,NA,11.0423591241729,12.7011878242966,"current"
2009,5766617,7030276,1263659,503691,4607471,1076888,7817337,6553678,1290752,1076888,655455,-787061,28439571.9872538,14048491.3478286,14051422,10268251.10925,1313817,1263659,0.0902531294839721,0.0872630968638682,136.843381122049,0.109320492738858,0.186745192198476,0.074382644730369,0.247200485406421,0.500429250795433,88.556,NA,11.0839610377841,12.6796569928495,"current"
2010,6344149,7614863,1270714,958443,4700760,1388685,8236992,6966278,1580572,1388685,684947,-622129,29524139.1866528,14424398.3177156,14428541,10352641.15324,1386906,1270714,0.0887932754436505,0.0904331248467237,139.370628097975,0.203891072932887,0.218892242284978,0.0988494042255035,0.257919899098786,0.527915468796204,89.632,NA,11.1673311297025,12.7050063651395,"current"
2011,6705111,8029648,1324537,1058459,4927979,1449878,8623024,7298487,1651835,1449878,718673,-593376,31167969.8340316,15117538.0239702,15124608,10505665.24998,1541669,1324537,0.088869423915195,0.0917997876569779,143.966209089223,0.214785614954934,0.216234749879607,0.10051566575358,0.257624992669,0.53114786199104,91.481,NA,11.2022493289248,12.7387702171274,"current"
2012,7236911,8628940,1392029,1311062,5182659,1652370,9173994,7781965,1856116,1652370,743190,-545054,32408664.4147268,15642642.0896619,15641553,10712999.77107,1702357,1392029,0.090751946666175,0.092037360571593,146.005351761879,0.252970917052424,0.228325317252071,0.109301527628376,0.266254106913425,0.551629318790259,93.185,NA,11.2601182513265,12.7593496006871,"current"
2013,7549180,8996874,1447694,1415792,5356731,1682298,9456941,8009247,1875859,1682298,776657,-460067,33805233.9668042,16230483.6659167,16233055,10920334.29216,1752317,1447694,0.0909078427132945,0.0925543646465284,148.649799225049,0.264301492832102,0.222845130199571,0.107545642888027,0.266138492306685,0.554319525233438,94.771,NA,11.2854860507664,12.7846627442651,"current"
2014,8079814,9604125,1524311,1618669,5648214,1807956,10046512,8522202,2061056,1807956,812932,-442387,35494739.9118806,16998812.1848127,17005192,11195109.2303,1937696,1524311,0.0918934265817881,0.093901671620037,151.89840179473,0.286580678423303,0.22376208165188,0.11139261387488,0.27057882446366,0.564988005960831,96.421,NA,11.3361553902144,12.8161710517549,"current"
2015,8455487,10042708,1587221,1670804,5949841,1777928,10489514,8902292,2117610,1777928,834841,-446806,36323905.7807384,17320571.3572317,17324832,11448159.9987,1971670,1587221,0.0936862216040728,0.0933374348257873,151.33289543444,0.280814899087219,0.21026914239239,0.10459130794965,0.276476545793855,0.579813898333496,97.316,NA,11.37236272216,12.8300232283816,"current"
2016,8563065,10192972,1629907,1601628,6109709,1724401,10684384,9054477,2093040,1724401,851727,-491412,37558099.5497358,17826348.6991891,17832363,11694526.40718,2003456,1629907,0.0933686065128543,0.09407923840185,152.484695652588,0.262144727351172,0.201376609893771,0.0995579744128952,0.271392113078089,0.571792472592195,98.241,NA,11.375545101277,12.8539759698067,"current"
2017,8815548,10524861,1709313,1498817,6432103,1726343,11132703,9423390,2106659,1726343,884628,-607842,39230187.1520406,18533810.8696934,18522028,11936357,2101896,1709313,0.0941937787646193,0.0958545426649289,155.173207369719,0.233021299565632,0.195829346059939,0.0968422097610224,0.268284751209823,0.567873551424349,100,NA,11.3868573526549,12.879786902822,"current"
2018,9203082,10996648,1793566,1474260,6780648,1844577,11796349,10002784,2273961,1844577,948175,-799701,41174768.3001923,19400446.1598946,19387389,12241330.92135,2278745,1793566,0.0948756746615029,0.0968342127546724,158.376479849806,0.217421697749242,0.200430355830797,0.0995249715759354,0.267072492547545,0.566824489981717,102.291,NA,11.4072272933715,12.905514514268,"current"
2019,9582657,11474488,1891831,1481103,7108215,1938296,12332556,10440725,2339171,1938296,993339,-858068,43215495.4344137,20277789.6662418,20271382,12527803.48935,2349717,1891831,0.0955092146459845,0.0975804942068269,161.811142849047,0.208364969264436,0.202271248986581,0.0999098672280501,0.265517909366892,0.565864829888367,103.979,NA,11.4312765044608,12.9375207238364,"current"
2020,9607416,11575618,1968202,1861047,7167961,1966263,12095295,10127094,2380724,1966263,578408,-519677,44495228.9588872,20686660.9292172,20683088,12702193.66512,2249910,1968202,0.096484619072084,0.0970926402551143,162.830834935192,0.259634085620723,0.204660961906927,0.0969663376710831,0.26015413946281,0.559569185167577,105.377,NA,11.4205014622377,12.9533481310057,"current"
2021,11333341,13403610,2070269,2684855,7883565,2697790,13818844,11748575,3100089,2697790,764921,-415234,49665070.2686317,22983267.9799825,22973076,12919674.08966,2463629,2070269,0.0916601277358665,0.10009477308224,177.814671179562,0.34056356483393,0.238040133090498,0.130412056795001,0.269880016830776,0.583189910663445,110.186,NA,11.5410896234766,13.0186425855767,"current"
2022,12137227,14425129,2287902,2453266,8504055,2913118,15322598,13034696,3350735,2913118,1179906,-897469,55559973.1018888,25628936.601313,25624438,13170337.58666,2769959,2287902,0.0910182366837052,0.099590581600827,194.561740208957,0.288481906572806,0.240015120422482,0.126749511972675,0.259631677170657,0.562845397153974,118.023,NA,11.5409083783264,13.0620940709966,"current"
2023,11909782,14357135,2447353,1754555,8960619,3144250,16125928,13678575,3523348,3144250,1194608,-1768793,57597454.5281561,26507828.517504,26507748,13482473.32221,3057004,2447353,0.0945140655096995,0.0955085532022205,196.608940856075,0.195807343220373,0.264005671976196,0.12268359194579,0.249266831626763,0.541618676555097,122.39,NA,11.4856579698235,13.0617762650759,"current"
2024,12413418,14996736,2583318,1719330,9443321,3344161,16961079,14377761,3683673,3344161,1250767,-1964343,59684542.1939727,27374869.1683572,27370152,13788879.6064,3196161,2583318,0.0965295031529326,0.0974552044179687,198.494386645427,0.18206836344968,0.269398887558608,0.126157485808079,0.251266667192673,0.54782859080601,125.428,NA,11.502556653544,13.0728517313512,"current"
