"year","GVAcorp","VAcorp","DEPCcorp","NOScorp","ECcorp","Pcorp","GVAcorpnipa","VAcorpnipa","NOScorpnipa","Pcorpnipa","Tcorp","CorpImpIntAdj","KGCcorp","KNCcorp","KNCcorpbea","KNRcorpbea","IGCcorpbea","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","exploit_rate","profit_share","rcorp","R_obs","R_net","Py","uK"
2000,5235030,4396422,838608,-92200,4008927,680747,6216190,5377582,888960,680747,479695,-981160,16810552.4027306,9051224.00733737,9087285,8600145.2185,1231396,838620,0.096491510355173,0.0988007412352956,105.664320416963,-0.0229986727121746,0.154841141273517,0.0805363366793362,0.311413323880401,0.57837812827925,72.722,NA
2001,5285861,4397277,888584,-85944,4013811,618384,6202593,5314009,830788,618384,469410,-916732,17794059.8272688,9506784.86434156,9528266,8867400.25173,1187409,888572,0.0961544257148147,0.0977819007547359,107.452756495807,-0.0214120694771129,0.140628848262231,0.0683204834504932,0.297057616491746,0.556009321282364,74.36,NA
2002,5654783,4740196,914587,269925,3972742,773589,6298540,5383953,913682,773589,497529,-643757,18619672.1067493,9809516.91824277,9830512,9011113.99001,1070121,914587,0.0945433654997497,0.0959867199341412,109.093193259994,0.0679442561334212,0.163197682121161,0.0813723052576491,0.303699386733574,0.576458866132724,75.515,NA
2003,5988768,5056227,932541,491078,4040875,918145,6524950,5592409,1027260,918145,524274,-536182,19433584.5675427,10106173.7825094,10127063,9151724.27547,1086552,932541,0.0935209407751471,0.0948618952909065,110.657431268382,0.121527639434528,0.181586981755368,0.0935973715782604,0.308165895961481,0.592585099849032,77.006,NA
2004,6303018,5330004,973014,520429,4240204,1125412,6960008,5986994,1177419,1125412,569371,-656990,21262084.7155326,10952086.4506215,10967477,9309642.27858,1163895,973014,0.0902490051494792,0.0960805714351733,117.807716685682,0.122736783418911,0.211146558238981,0.111358860852733,0.296444026271584,0.575508422839588,79.077,NA
2005,6496176,5454108,1042069,394852,4442988,1304329,7485433,6443365,1384109,1304329,616267,-989257,23329120.9536023,11938021.9434129,11936357,9497759.2649,1295107,1042069,0.0890661830484935,0.0950144686877392,125.675505843911,0.0888708229686868,0.239146162855594,0.11909411105187,0.278457813002033,0.544158490476257,81.556,NA
2006,6574682,5455379,1119303,119626,4681230,1456385,8029316,6910013,1574260,1456385,654523,-1454634,25307940.1697674,12889851.1287292,12896598,9740425.40271,1432255,1119303,0.0890080470637985,0.0937725806961035,132.402820891292,0.0255543948919408,0.266963120252507,0.121995503685901,0.259787321919389,0.510066558126974,84.071,NA
2007,6468892,5279948,1188944,-290582,4894238,1258028,8199258,7010314,1439784,1258028,676292,-1730366,26790855.3958417,13594310.5378487,13605165,10007561.07237,1547563,1188944,0.0897858525675974,0.0921905141185295,135.94885808454,-0.0593722659175953,0.23826522533934,0.0975983343357689,0.241458956962011,0.475852893163621,86.349,NA
2008,6754459,5497718,1256741,-127569,4940328,955428,8108788,6852047,1226760,955428,684959,-1354329,28669643.4539377,14472269.8488425,14481024,10231606.49326,1575381,1256741,0.08872828559809,0.0923723453556058,141.532260936142,-0.0258219697153711,0.17378628732867,0.0702814605668995,0.235596198147776,0.466717320126547,88.013,NA
2009,7030276,5766617,1263659,503691,4607471,1076888,7817337,6553678,1290752,1076888,655455,-787061,28241656.889128,14043734.0514958,14051422,10268251.10925,1313817,1263659,0.0902531294839721,0.0872630968638682,136.843381122049,0.109320492738858,0.186745192198476,0.0744104422628721,0.2489328451089,0.50059877054217,88.556,NA
2010,7614863,6344149,1270714,958443,4700760,1388685,8236992,6966278,1580572,1388685,684947,-622129,29328328.1080044,14419983.3799933,14428541,10352641.15324,1386906,1270714,0.0887932754436505,0.0904331248467237,139.370628097975,0.203891072932887,0.218892242284978,0.0988828893304264,0.259641905667365,0.528077099628636,89.632,NA
2011,8029648,6705111,1324537,1058459,4927979,1449878,8623024,7298487,1651835,1449878,718673,-593376,30971481.1951589,15113382.7992637,15124608,10505665.24998,1541669,1324537,0.088869423915195,0.0917997876569779,143.966209089223,0.214785614954934,0.216234749879607,0.100546440435681,0.259259411889384,0.531293894070571,91.481,NA
2012,8628940,7236911,1392029,1311062,5182659,1652370,9173994,7781965,1856116,1652370,743190,-545054,32215086.1810191,15638810.4461146,15641553,10712999.77107,1702357,1392029,0.090751946666175,0.092037360571593,146.005351761879,0.252970917052424,0.228325317252071,0.109331578637742,0.267854009500807,0.551764472734806,93.185,NA
2013,8996874,7549180,1447694,1415792,5356731,1682298,9456941,8009247,1875859,1682298,776657,-460067,33613780.626666,16226937.2590141,16233055,10920334.29216,1752317,1447694,0.0909078427132945,0.0925543646465284,148.649799225049,0.264301492832102,0.222845130199571,0.107571992498826,0.267654332011161,0.554440672099241,94.771,NA
2014,9604125,8079815,1524311,1618669,5648214,1807956,10046512,8522202,2061056,1807956,812932,-442387,35304692.1770121,16995521.2880349,17005192,11195109.2303,1937696,1524311,0.0918934265817881,0.093901671620037,151.89840179473,0.286580678423303,0.223762053957919,0.111416958797673,0.272035370025221,0.56509740638326,96.421,NA
2015,10042708,8455486,1587221,1670804,5949841,1777928,10489514,8902292,2117610,1777928,834841,-446806,36139975.2993768,17317599.8760793,17324832,11448159.9987,1971670,1587221,0.0936862216040728,0.0933374348257873,151.33289543444,0.280814899087219,0.210269167260167,0.10461156029687,0.277883643162677,0.579913387066526,97.316,NA
2016,10192972,8563065,1629907,1601628,6109709,1724401,10684384,9054477,2093040,1724401,851727,-491412,37378064.3205338,17823634.1566684,17832363,11694526.40718,2003456,1629907,0.0933686065128543,0.09407923840185,152.484695652588,0.262144727351172,0.201376609893771,0.0995750573023635,0.272699300653738,0.571879556683252,98.241,NA
2017,10524861,8815548,1709313,1498817,6432103,1726343,11132703,9423390,2106659,1726343,884628,-607842,39052212.2148748,18531308.6673433,18522028,11936357,2101896,1709313,0.0941937787646193,0.0958545426649289,155.173207369719,0.233021299565632,0.195829346059939,0.096856958846079,0.269507421041595,0.567950228930533,100,NA
2018,10996648,9203083,1793566,1474260,6780648,1844577,11796349,10002784,2273961,1844577,948175,-799701,40998309.3586118,19398134.6028607,19387389,12241330.92135,2278745,1793566,0.0948756746615029,0.0968342127546724,158.376479849806,0.217421697749242,0.200430334052187,0.0995384100018039,0.268221987004694,0.566892034988678,102.291,NA
2019,11474488,9582657,1891831,1481103,7108215,1938296,12332556,10440725,2339171,1938296,993339,-858068,43040360.7024626,20275653.5420447,20271382,12527803.48935,2349717,1891831,0.0955092146459845,0.0975804942068269,161.811142849047,0.208364969264436,0.202271248986581,0.0999217728757359,0.266598323357998,0.565924446095209,103.979,NA
2020,11575618,9607417,1968202,1861047,7167961,1966263,12095295,10127094,2380724,1966263,578408,-519677,44324025.9554812,20684718.7456546,20683088,12702193.66512,2249910,1968202,0.096484619072084,0.0970926402551143,162.830834935192,0.259634085620723,0.204660940604535,0.0969765534769397,0.261158993355578,0.559621725696985,105.377,NA
