"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
1938,97249,1207720.60126,76151.8854617627,945718.731266775,289408.156243796,3594116.05742275,4632,57524.1064179202,4829,0.0496855012241185,0.0490846809851496,8.0522763210747,81246,10.118
1939,97933,1210704.69051,77503.500338507,958143.336676849,291909.939248375,3608760.40409767,5000,61812.9073198003,4832,0.0494617658848687,0.0496868862404755,8.08892546362784,81840,10.143
1940,104103,1223595.95607,78245.5831710143,919675.50549352,290578.34288784,3415372.13412757,6205,72931.7397905377,5050,0.0490261671003415,0.0515658664597225,8.50795554558407,83516,10.251
1941,116896,1244365.21725,79489.7955521212,846173.835814513,290179.441587881,3088978.27019733,7644,81370.8571778247,5594,0.0486667832717702,0.0537352429805097,9.39402663940862,86385,10.425
1942,124270,1242455.40013,79311.027323596,792954.165832943,288288.812415097,2882320.6870701,6138,61367.9186126816,6401,0.051429757167952,0.0547580755543389,10.0019686812901,87557,10.409
1943,125280,1231951.40597,78205.1467052167,769036.880887467,284381.668430817,2796491.03013601,5324,52354.0013201172,6565,0.051959594752159,0.0528285185483222,10.1692322759564,87877,10.321
1944,126747,1232786.95096,76774.3365747259,746734.83631118,278013.576168595,2704060.12679091,6745,65604.2982021286,6760,0.0533707687523306,0.0539591315453384,10.2813385476947,89528,10.328
1945,138239,1250930.2136,74774.9163932003,676641.19485578,267171.832807381,2417648.54984223,9152,82816.8122951352,6982,0.0512500524678157,0.0550861164366809,11.0508962448167,93320,10.48
1946,167109,1287097.37531,82233.6866023087,633375.594300107,287393.518376354,2213545.90825935,13368,102962.244482009,8015,0.0493494150113385,0.0579792967252367,12.9833999513635,100744,10.783
1947,199192,1340214.16396,92453.8500512499,622052.890433948,315847.225264881,2125100.02885386,17308,116452.602262238,9816,0.0513127696005001,0.0587401037646087,14.862699213045,111165,11.228
1948,218012,1392137.31691,111530.510087489,712189.168792546,342743.247669753,2188621.10892973,19456,124238.223757412,11506,0.0548216171377721,0.0577633639905217,15.6602367706011,122684,11.663
1949,222118,1426155.93436,122322.614624959,785398.404243764,348891.74695271,2240133.78188997,17762,114044.704643938,12432,0.0573379531479729,0.0570243839788636,15.5745942395617,131600,11.948
1950,249086,1465068.45818,145743.490216245,857230.797800302,389519.279225187,2291065.77585986,19541,114935.816309609,13307,0.0548809655331227,0.059909597601275,17.0016628649169,141463,12.274
1951,270446,1512694.52261,167950.245471303,939401.641715703,421463.499426029,2357385.67796084,23560,131778.9242684,15158,0.0578701564156298,0.0608544839934802,17.8784279282887,154413,12.673
1952,286492,1562946.58558,187350.523795163,1022083.90276962,444947.530104233,2427394.91133667,25179,137363.109888998,16140,0.05820816827104,0.0596791965863795,18.330248944092,167991,13.094
